# commit bd985d7, 2026-09-25T20:41:20Z, command: node --experimental-strip-types audit/scripts/harness/scan-existing.ts
file	kind	check_exit	markers	unexpected_diagnostics
spec/conformance/runtime/valid/cancellation-runs-defer.hd	conformance-runtime	1	0	13:nonhost-entry-requirement
spec/conformance/runtime/valid/cancellation-unwinds-suspending-closure.hd	conformance-runtime	1	0	9:nonhost-entry-requirement
spec/conformance/runtime/valid/map-insertion-order.hd	conformance-runtime	0	0	5:warning:unused-local-binding
spec/conformance/typing/invalid/discarded-result.hd	conformance-type	1	1	12:discarded-must-use-value,15:discarded-must-use-value
spec/conformance/typing/invalid/generic-requirement-key-collision.hd	conformance-type	1	1	11:generic-requirement-key-collision
spec/conformance/typing/invalid/nondisplay-entry-error.hd	conformance-type	1	1	3:private-type-leak
spec/conformance/typing/invalid/nonhost-entry-requirement.hd	conformance-type	1	1	3:private-type-leak
spec/conformance/typing/invalid/supertrait-cycle.hd	conformance-type	1	1	1:supertrait-cycle
spec/conformance/typing/valid/collections.hd	conformance-type	0	0	21:warning:unused-local-binding,28:warning:unused-local-binding
spec/conformance/typing/valid/explicit-discard-and-void-result.hd	conformance-type	0	0	11:warning:unused-local-binding
test/fixtures/compiler-types/traits/multiple-bounds/duplicate-bound.hd	fixture	1	1	28:duplicate-trait-bound
test/fixtures/suspension/32-host-provider-polls-record-and-replay.hd	fixture:expect: test	1	0	15:nonhost-entry-requirement
test/fixtures/suspension/33-host-provider-scalar-arguments-and-results.hd	fixture:expect: test	1	0	15:nonhost-entry-requirement
test/fixtures/suspension/35-host-provider-f64-values-use-durable-bit-encoding.hd	fixture:expect: test	1	0	15:nonhost-entry-requirement
test/fixtures/suspension/36-host-provider-strings-use-utf8-boundary.hd	fixture:expect: test	1	0	15:nonhost-entry-requirement
scanned 520 files, 15 with unexpected diagnostics
