# commit bd985d7; command: node --experimental-strip-types audit/scripts/coverage/examples-pipeline.ts audit/evidence/02-coverage/examples; date 2026-09-25T20:42:13.683Z
fixture	expectation	check	build_wat	test_run
typing/valid/data-types.hd	accept	PASS	wasm-ok	pass
parse/valid/functions-and-closures.hd	accept	FAIL(unknown-name)	skipped	not-run
parse/valid/layout.hd	accept	PASS	wasm-ok	pass
typing/valid/names-and-scopes.hd	accept	PASS	wasm-ok	pass
parse/valid/uses.hd	accept	FAIL(expected-token)	skipped	not-run
typing/valid/bindings.hd	accept	PASS	wasm-ok	no-entry
typing/valid/module-bindings.hd	accept	PASS	wasm-ok	pass
typing/valid/collections.hd	accept	PASS	wasm-ok	no-entry
typing/valid/local-types.hd	accept	FAIL(expected-expression)	skipped	not-run
typing/valid/enums.hd	accept	PASS	wasm-ok	pass
typing/valid/newtypes-and-widening.hd	accept	FAIL(expected-expression)	skipped	not-run
typing/invalid/integer-literal-range.hd	reject:integer-literal-range	FAIL(unknown-type)	skipped	not-run
parse/valid/declarations.hd	accept	FAIL(expected-expression)	skipped	not-run
typing/valid/mutable-paths.hd	accept	PASS	wasm-ok	no-entry
typing/valid/functions.hd	accept	PASS	wasm-ok	pass
typing/valid/trait-features.hd	accept	PASS	wasm-ok	no-entry
typing/valid/variance-permission-weakening.hd	accept	FAIL(expected-token)	skipped	not-run
typing/valid/prelude-surface.hd	accept	FAIL(unknown-trait)	skipped	not-run
typing/valid/traits.hd	accept	PASS	wasm-ok	no-entry
typing/valid/control-flow.hd	accept	PASS	wasm-ok	no-entry
typing/valid/defer-cleanup.hd	accept	PASS	wasm-ok	no-entry
typing/valid/local-functions.hd	accept	PASS	wasm-ok	no-entry
typing/invalid/readonly-mutation.hd	reject:readonly-root	PASS	skipped	not-run
typing/valid/requirements-and-suspension.hd	accept	PASS	wasm-ok	pass
typing/valid/mutable-closure-capture.hd	accept	FAIL(expected-expression)	skipped	not-run
parse/valid/consecutive-trailing-block-calls.hd	accept	FAIL(unknown-name)	skipped	not-run
typing/valid/explicit-generic-method.hd	accept	PASS	wasm-ok	fail(panic:explicit-panic)
typing/valid/full-validation.hd	accept	FAIL(expected-expression)	skipped	not-run
parse/valid/data-embedding.hd	accept	FAIL(unknown-type)	skipped	not-run
typing/valid/contextual-variants.hd	accept	PASS	wasm-ok	no-entry
typing/valid/gadts.hd	accept	FAIL(expected-token)	skipped	not-run
typing/valid/derived-equality.hd	accept	FAIL(decorator-not-top-level)	skipped	not-run
typing/valid/row-subtraction-entailment.hd	accept	PASS	wasm-ok	no-entry
typing/valid/variadic-generics.hd	accept	FAIL(unsupported-generic-parameter)	skipped	not-run
typing/valid/shape-api.hd	accept	FAIL(expected-expression)	skipped	not-run
typing/valid/annotations.hd	accept	FAIL(expected-expression)	skipped	not-run
typing/valid/parameter-decorator.hd	accept	FAIL(expected-expression)	skipped	not-run
typing/valid/annotation-reference.hd	accept	FAIL(expected-expression)	skipped	not-run
