# commit bd985d7; command: node --experimental-strip-types audit/scripts/coverage/examples-pipeline.ts audit/evidence/02-coverage/examples; date 2026-09-25T20:42:13.683Z
chapter	block	class	fixtures	expectation_ok	compiles_to_wasm	has_entry	executes_cleanly
01-lexical-structure.md	1	accept	typing/valid/data-types.hd	true	true	true	true
01-lexical-structure.md	2	accept	parse/valid/functions-and-closures.hd	false	false	false	false
01-lexical-structure.md	3	accept	parse/valid/layout.hd	true	true	true	true
01-lexical-structure.md	4	accept	parse/valid/layout.hd	true	true	true	true
01-lexical-structure.md	6	accept	parse/valid/layout.hd	true	true	true	true
03-names-and-scopes.md	1	accept	typing/valid/names-and-scopes.hd	true	true	true	true
03-names-and-scopes.md	2	accept	parse/valid/uses.hd	false	false	false	false
03-names-and-scopes.md	3	accept	typing/valid/bindings.hd	true	true	false	true
03-names-and-scopes.md	4	accept	typing/valid/module-bindings.hd	true	true	true	true
03-names-and-scopes.md	5	accept	typing/valid/collections.hd	true	true	false	true
03-names-and-scopes.md	6	accept	typing/valid/names-and-scopes.hd	true	true	true	true
03-names-and-scopes.md	7	accept	typing/valid/local-types.hd	false	false	false	false
03-names-and-scopes.md	8	accept	typing/valid/names-and-scopes.hd	true	true	true	true
03-names-and-scopes.md	9	accept	typing/valid/enums.hd	true	true	true	true
03-names-and-scopes.md	10	accept	typing/valid/collections.hd	true	true	false	true
03-names-and-scopes.md	11	accept	typing/valid/collections.hd	true	true	false	true
03-names-and-scopes.md	12	accept	typing/valid/enums.hd	true	true	true	true
04-type-system.md	1	accept	typing/valid/newtypes-and-widening.hd	false	false	false	false
04-type-system.md	2	mixed	typing/valid/newtypes-and-widening.hd|typing/invalid/integer-literal-range.hd	false	false	false	false
04-type-system.md	3	accept	parse/valid/declarations.hd	false	false	false	false
04-type-system.md	4	accept	parse/valid/declarations.hd	false	false	false	false
04-type-system.md	5	accept	typing/valid/newtypes-and-widening.hd	false	false	false	false
04-type-system.md	6	accept	typing/valid/newtypes-and-widening.hd	false	false	false	false
04-type-system.md	8	accept	typing/valid/newtypes-and-widening.hd	false	false	false	false
04-type-system.md	9	accept	typing/valid/bindings.hd	true	true	false	true
04-type-system.md	10	accept	typing/valid/bindings.hd	true	true	false	true
04-type-system.md	11	accept	typing/valid/bindings.hd	true	true	false	true
04-type-system.md	12	accept	typing/valid/mutable-paths.hd	true	true	false	true
04-type-system.md	13	accept	typing/valid/functions.hd	true	true	true	true
04-type-system.md	14	accept	typing/valid/trait-features.hd	true	true	false	true
04-type-system.md	15	accept	typing/valid/variance-permission-weakening.hd	false	false	false	false
05-expressions.md	1	accept	typing/valid/prelude-surface.hd	false	false	false	false
05-expressions.md	2	accept	typing/valid/traits.hd	true	true	false	true
05-expressions.md	3	accept	typing/valid/collections.hd	true	true	false	true
05-expressions.md	4	accept	typing/valid/collections.hd	true	true	false	true
05-expressions.md	5	accept	typing/valid/collections.hd	true	true	false	true
05-expressions.md	6	accept	typing/valid/data-types.hd	true	true	true	true
05-expressions.md	7	accept	typing/valid/data-types.hd	true	true	true	true
05-expressions.md	8	accept	typing/valid/functions.hd	true	true	true	true
05-expressions.md	9	accept	typing/valid/functions.hd	true	true	true	true
05-expressions.md	10	accept	typing/valid/names-and-scopes.hd	true	true	true	true
05-expressions.md	11	accept	typing/valid/collections.hd	true	true	false	true
05-expressions.md	12	accept	typing/valid/collections.hd	true	true	false	true
05-expressions.md	13	accept	typing/valid/collections.hd	true	true	false	true
06-control-flow.md	1	accept	typing/valid/control-flow.hd	true	true	false	true
06-control-flow.md	2	accept	typing/valid/control-flow.hd	true	true	false	true
06-control-flow.md	5	accept	typing/valid/control-flow.hd	true	true	false	true
06-control-flow.md	6	accept	typing/valid/enums.hd	true	true	true	true
06-control-flow.md	7	accept	typing/valid/enums.hd	true	true	true	true
06-control-flow.md	8	accept	typing/valid/enums.hd	true	true	true	true
06-control-flow.md	9	accept	typing/valid/defer-cleanup.hd	true	true	false	true
07-functions.md	1	accept	typing/valid/functions.hd	true	true	true	true
07-functions.md	2	accept	parse/valid/layout.hd	true	true	true	true
07-functions.md	3	accept	typing/valid/local-functions.hd	true	true	false	true
07-functions.md	4	mixed	typing/valid/functions.hd|typing/invalid/readonly-mutation.hd	true	true	true	true
07-functions.md	5	accept	typing/valid/functions.hd	true	true	true	true
07-functions.md	7	accept	typing/valid/functions.hd	true	true	true	true
07-functions.md	8	accept	typing/valid/functions.hd	true	true	true	true
07-functions.md	10	accept	parse/valid/functions-and-closures.hd	false	false	false	false
07-functions.md	11	accept	parse/valid/functions-and-closures.hd	false	false	false	false
07-functions.md	12	accept	typing/valid/requirements-and-suspension.hd	true	true	true	true
07-functions.md	13	accept	typing/valid/collections.hd	true	true	false	true
07-functions.md	14	accept	typing/valid/mutable-closure-capture.hd	false	false	false	false
07-functions.md	15	accept	parse/valid/functions-and-closures.hd	false	false	false	false
07-functions.md	16	accept	parse/valid/consecutive-trailing-block-calls.hd	false	false	false	false
07-functions.md	17	accept	typing/valid/functions.hd	true	true	true	true
07-functions.md	18	accept	typing/valid/trait-features.hd	true	true	false	true
07-functions.md	19	accept	typing/valid/functions.hd	true	true	true	true
07-functions.md	20	accept	typing/valid/explicit-generic-method.hd	true	true	true	false
07-functions.md	21	accept	typing/valid/explicit-generic-method.hd	true	true	true	false
07-functions.md	22	accept	typing/valid/explicit-generic-method.hd	true	true	true	false
08-data-and-enums.md	1	accept	typing/valid/data-types.hd	true	true	true	true
08-data-and-enums.md	2	accept	typing/valid/full-validation.hd	false	false	false	false
08-data-and-enums.md	3	accept	typing/valid/data-types.hd	true	true	true	true
08-data-and-enums.md	4	accept	typing/valid/data-types.hd	true	true	true	true
08-data-and-enums.md	5	accept	parse/valid/data-embedding.hd	false	false	false	false
08-data-and-enums.md	6	accept	parse/valid/data-embedding.hd	false	false	false	false
08-data-and-enums.md	7	accept	typing/valid/contextual-variants.hd	true	true	false	true
08-data-and-enums.md	8	accept	typing/valid/enums.hd	true	true	true	true
08-data-and-enums.md	9	accept	typing/valid/enums.hd	true	true	true	true
08-data-and-enums.md	10	accept	typing/valid/enums.hd	true	true	true	true
08-data-and-enums.md	11	accept	typing/valid/enums.hd	true	true	true	true
08-data-and-enums.md	12	accept	typing/valid/enums.hd	true	true	true	true
08-data-and-enums.md	13	accept	typing/valid/enums.hd	true	true	true	true
08-data-and-enums.md	15	accept	typing/valid/gadts.hd	false	false	false	false
09-traits.md	1	accept	typing/valid/traits.hd	true	true	false	true
09-traits.md	2	accept	typing/valid/trait-features.hd	true	true	false	true
09-traits.md	3	accept	typing/valid/trait-features.hd	true	true	false	true
09-traits.md	4	accept	typing/valid/trait-features.hd	true	true	false	true
09-traits.md	5	accept	typing/valid/trait-features.hd	true	true	false	true
09-traits.md	6	accept	typing/valid/trait-features.hd	true	true	false	true
09-traits.md	7	accept	typing/valid/prelude-surface.hd	false	false	false	false
09-traits.md	8	accept	typing/valid/traits.hd	true	true	false	true
09-traits.md	10	accept	typing/valid/traits.hd	true	true	false	true
09-traits.md	11	accept	typing/valid/trait-features.hd	true	true	false	true
09-traits.md	14	accept	typing/valid/prelude-surface.hd	false	false	false	false
09-traits.md	15	accept	typing/valid/trait-features.hd	true	true	false	true
09-traits.md	16	accept	typing/valid/prelude-surface.hd	false	false	false	false
10-modules.md	3	accept	parse/valid/uses.hd	false	false	false	false
10-modules.md	4	accept	parse/valid/uses.hd	false	false	false	false
10-modules.md	5	accept	parse/valid/uses.hd	false	false	false	false
10-modules.md	7	accept	typing/valid/derived-equality.hd	false	false	false	false
10-modules.md	8	accept	parse/valid/declarations.hd	false	false	false	false
10-modules.md	9	accept	parse/valid/uses.hd	false	false	false	false
10-modules.md	10	accept	parse/valid/uses.hd	false	false	false	false
10-modules.md	11	accept	typing/valid/requirements-and-suspension.hd	true	true	true	true
11-requirements-and-suspension.md	1	accept	typing/valid/requirements-and-suspension.hd	true	true	true	true
11-requirements-and-suspension.md	2	accept	typing/valid/requirements-and-suspension.hd	true	true	true	true
11-requirements-and-suspension.md	3	accept	typing/valid/requirements-and-suspension.hd	true	true	true	true
11-requirements-and-suspension.md	4	accept	typing/valid/requirements-and-suspension.hd	true	true	true	true
11-requirements-and-suspension.md	5	accept	typing/valid/requirements-and-suspension.hd	true	true	true	true
11-requirements-and-suspension.md	6	accept	typing/valid/requirements-and-suspension.hd	true	true	true	true
11-requirements-and-suspension.md	8	accept	typing/valid/requirements-and-suspension.hd	true	true	true	true
11-requirements-and-suspension.md	13	accept	typing/valid/requirements-and-suspension.hd	true	true	true	true
11-requirements-and-suspension.md	14	accept	typing/valid/requirements-and-suspension.hd	true	true	true	true
11-requirements-and-suspension.md	15	accept	typing/valid/row-subtraction-entailment.hd	true	true	false	true
12-variadic-generics.md	1	accept	typing/valid/variadic-generics.hd	false	false	false	false
12-variadic-generics.md	2	accept	typing/valid/variadic-generics.hd	false	false	false	false
12-variadic-generics.md	3	accept	typing/valid/variadic-generics.hd	false	false	false	false
13-gadts.md	1	accept	typing/valid/gadts.hd	false	false	false	false
13-gadts.md	2	accept	typing/valid/gadts.hd	false	false	false	false
13-gadts.md	3	accept	typing/valid/gadts.hd	false	false	false	false
13-gadts.md	4	accept	typing/valid/gadts.hd	false	false	false	false
13-gadts.md	5	accept	typing/valid/gadts.hd	false	false	false	false
14-annotations.md	1	accept	typing/valid/shape-api.hd	false	false	false	false
14-annotations.md	4	accept	typing/valid/annotations.hd	false	false	false	false
14-annotations.md	5	accept	typing/valid/annotations.hd	false	false	false	false
14-annotations.md	6	accept	typing/valid/parameter-decorator.hd	false	false	false	false
14-annotations.md	7	accept	typing/valid/annotations.hd	false	false	false	false
14-annotations.md	9	accept	typing/valid/annotations.hd	false	false	false	false
14-annotations.md	10	accept	typing/valid/annotations.hd	false	false	false	false
14-annotations.md	11	accept	typing/valid/annotations.hd	false	false	false	false
14-annotations.md	12	accept	typing/valid/full-validation.hd	false	false	false	false
14-annotations.md	13	accept	typing/valid/annotation-reference.hd	false	false	false	false
14-annotations.md	14	accept	typing/valid/full-validation.hd	false	false	false	false
14-annotations.md	15	accept	typing/valid/full-validation.hd	false	false	false	false
14-annotations.md	16	accept	typing/valid/parameter-decorator.hd	false	false	false	false
14-annotations.md	18	accept	typing/valid/annotations.hd	false	false	false	false
14-annotations.md	20	accept	typing/valid/annotations.hd	false	false	false	false
14-annotations.md	21	accept	typing/valid/full-validation.hd	false	false	false	false
14-annotations.md	22	accept	typing/valid/full-validation.hd	false	false	false	false
