# commit bd985d7; command: hd build --wat [--profile P] on each selected runtime fixture; count GC type definitions; date 2026-09-25T20:45:38Z
path	build_exit	struct_types	array_types	struct_new_ops
runtime/valid/display-dispatch.hd	0	110	67	14
runtime/valid/float-display.hd	0	98	77	10
runtime/valid/assert.hd	0	118	59	12
runtime/panic/integer-divide-by-zero.hd	0	81	57	8
runtime/panic/signed-min-division-overflow.hd	0	82	57	8
runtime/panic/nested-block-on.hd	0	122	57	14
runtime/panic/second-suspension-drive.hd	0	105	57	12
runtime/panic/test-block-on.hd	0	122	57	14
runtime/valid/construction-provider-capture.hd	0	179	58	18
runtime/valid/defer-order.hd	0	105	64	11
runtime/valid/map-insertion-order.hd	0	126	68	21
runtime/valid/generic-data-embedding.hd	0	103	59	12
runtime/valid/partial-equality-dispatch.hd	0	145	83	25
runtime/valid/partial-ordering-dispatch.hd	0	128	70	20
runtime/valid/structural-equality.hd	0	154	83	29
runtime/valid/structural-ordering.hd	0	146	76	23
runtime/valid/list-iterator.hd	0	268	76	59
runtime/panic/invalidated-iterator.hd	0	99	59	15
runtime/valid/map-iterator.hd	0	206	85	46
runtime/panic/map-iterator-invalidated.hd	0	101	63	17
runtime/panic/for-loop-iterator-invalidated.hd	0	100	59	15
runtime/panic/removed-map-iterator-invalidated.hd	0	100	63	16
runtime/panic/explicit-panic.hd	0	81	58	8
runtime/panic/integer-add-overflow.hd	0	81	57	8
runtime/panic/invalid-shift.hd	0	81	57	8
runtime/panic/list-index-out-of-bounds.hd	0	83	58	9
runtime/panic/integer-negation-overflow.hd	0	81	57	8
runtime/panic/list-set-out-of-bounds.hd	0	83	58	10
runtime/panic/competing-suspension-drivers.hd	0	125	57	13
runtime/panic/reentrant-suspension-poll.hd	0	125	57	13
runtime/panic/reentrant-cancel.hd	0	169	57	20
runtime/valid/module-initialization-before-main.hd	0	81	58	8
runtime/valid/cancellation-unwinds-nested-frames.hd	0	142	57	14
runtime/valid/cancellation-unwinds-suspending-closure.hd	0	168	57	17
runtime/valid/cancellation-runs-defer.hd	0	154	57	16
