# commit bd985d7; command: node --experimental-strip-types audit/scripts/coverage/runner.ts conformance test/portable/cases.tsv audit/evidence/02-coverage/selected.tsv; date 2026-09-25T20:35:44.456Z
path	phase	expectation	verdict	codes	commands	failure	first_output
parse/valid/functions-and-closures.hd	parse	accept	PASS		hd parse spec/conformance/parse/valid/functions-and-closures.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/valid/functions-and-closures.hd: ok
parse/valid/expressions.hd	parse	accept	PASS		hd parse spec/conformance/parse/valid/expressions.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/valid/expressions.hd: ok
parse/valid/layout.hd	parse	accept	PASS		hd parse spec/conformance/parse/valid/layout.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/valid/layout.hd: ok
parse/valid/unicode-identifiers.hd	parse	accept	PASS		hd parse spec/conformance/parse/valid/unicode-identifiers.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/valid/unicode-identifiers.hd: ok
parse/valid/doc-comments.hd	parse	accept	PASS		hd parse spec/conformance/parse/valid/doc-comments.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/valid/doc-comments.hd: ok
parse/invalid/doc-comment-without-target.hd	parse	reject:doc-comment-without-target	PASS	doc-comment-without-target	hd parse spec/conformance/parse/invalid/doc-comment-without-target.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/doc-comment-without-target.hd:2:5: doc-comment-without-target: documentation comments cannot attach to executable statements
parse/invalid/mutable-field-modifier.hd	parse	reject:mutable-field-modifier	PASS	mutable-field-modifier	hd parse spec/conformance/parse/invalid/mutable-field-modifier.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/mutable-field-modifier.hd:2:9: mutable-field-modifier: data fields express mutable access in their type rather than with a field modifier
parse/invalid/mutable-embedded-field.hd	parse	reject:mutable-embedded-field	PASS	mutable-embedded-field	hd parse spec/conformance/parse/invalid/mutable-embedded-field.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/mutable-embedded-field.hd:5:9: mutable-embedded-field: data fields express mutable access in their type rather than with a field modifier
parse/invalid/old-struct-declaration.hd	parse	reject:old-struct-declaration	PASS	old-struct-declaration	hd parse spec/conformance/parse/invalid/old-struct-declaration.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/old-struct-declaration.hd:2:1: old-struct-declaration: 'struct' was replaced by 'data'
parse/invalid/declaration-without-let.hd	parse	reject:missing-let	PASS	missing-let	hd parse spec/conformance/parse/invalid/declaration-without-let.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/declaration-without-let.hd:2:5: missing-let: a typed mutable binding must begin with 'let'
parse/invalid/reserved-name-collision.hd	parse	reject:reserved-name	PASS	reserved-name	hd parse spec/conformance/parse/invalid/reserved-name-collision.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/reserved-name-collision.hd:1:8: reserved-name: 'shape' is reserved and cannot name a parameter
parse/invalid/old-import-declaration.hd	parse	reject:old-import-declaration	PASS	old-import-declaration	hd parse spec/conformance/parse/invalid/old-import-declaration.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/old-import-declaration.hd:2:1: old-import-declaration: 'import' was replaced by 'use'
parse/invalid/old-export-declaration.hd	parse	reject:old-export-declaration	PASS	old-export-declaration	hd parse spec/conformance/parse/invalid/old-export-declaration.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/old-export-declaration.hd:2:1: old-export-declaration: 'export' was replaced by 'pub use'
parse/invalid/pub-trait-method.hd	parse	reject:trait-method-visibility	PASS	trait-method-visibility	hd parse spec/conformance/parse/invalid/pub-trait-method.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/pub-trait-method.hd:2:5: trait-method-visibility: trait methods inherit the trait's visibility and cannot be declared pub
parse/valid/utf8-bom.hd	parse	accept	PASS		hd parse spec/conformance/parse/valid/utf8-bom.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/valid/utf8-bom.hd: ok
parse/invalid/tab-indentation.hd	parse	reject:tab-whitespace	PASS	tab-whitespace	hd parse spec/conformance/parse/invalid/tab-indentation.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/tab-indentation.hd:2:1: tab-whitespace: indentation must contain spaces only
parse/invalid/invalid-escape.hd	parse	reject:invalid-escape	PASS	invalid-escape	hd parse spec/conformance/parse/invalid/invalid-escape.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/invalid-escape.hd:2:10: invalid-escape: invalid escape sequence '\x'
parse/invalid/mid-file-bom.hd	parse	reject:unexpected-bom	PASS	unexpected-bom	hd parse spec/conformance/parse/invalid/mid-file-bom.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/mid-file-bom.hd:2:1: unexpected-bom: a byte-order mark is only allowed at the start of a file
parse/invalid/semicolon.hd	parse	reject:reserved-semicolon	PASS	reserved-semicolon	hd parse spec/conformance/parse/invalid/semicolon.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/semicolon.hd:2:14: reserved-semicolon: semicolon is reserved and cannot separate statements
parse/invalid/chained-comparison.hd	parse	reject:comparison-chaining	PASS	comparison-chaining	hd parse spec/conformance/parse/invalid/chained-comparison.hd		/Users/hd/code/test/hd-lang/spec/conformance/parse/invalid/chained-comparison.hd:2:21: comparison-chaining: comparisons do not chain
