# commit bd985d7; command: node --experimental-strip-types audit/scripts/coverage/runner.ts conformance audit/evidence/02-coverage/unselected-manifest.tsv audit/evidence/02-coverage/unselected.tsv; date 2026-09-25T20:35:15.788Z
path	phase	expectation	verdict	codes	commands	failure	first_output
parse/valid/declarations.hd	parse	accept	FAIL	expected-expression	hd parse spec/conformance/parse/valid/declarations.hd	expected success	/Users/hd/code/test/hd-lang/spec/conformance/parse/valid/declarations.hd:1:1: expected-expression: expected an expression, found 'type'
parse/valid/decorators.hd	parse	accept	FAIL	decorator-not-top-level	hd parse spec/conformance/parse/valid/decorators.hd	expected success	/Users/hd/code/test/hd-lang/spec/conformance/parse/valid/decorators.hd:1:1: decorator-not-top-level: decorators are only valid on top-level declarations
parse/valid/grammar-disambiguation.hd	parse	accept	FAIL	expected-newline	hd parse spec/conformance/parse/valid/grammar-disambiguation.hd	expected success	/Users/hd/code/test/hd-lang/spec/conformance/parse/valid/grammar-disambiguation.hd:10:53: expected-newline: expected a line ending, found 'else'
parse/valid/nested-layout.hd	parse	accept	FAIL	expected-newline	hd parse spec/conformance/parse/valid/nested-layout.hd	expected success	/Users/hd/code/test/hd-lang/spec/conformance/parse/valid/nested-layout.hd:2:16: expected-newline: expected a line ending, found 'else'
parse/valid/uses.hd	parse	accept	FAIL	expected-token	hd parse spec/conformance/parse/valid/uses.hd	expected success	/Users/hd/code/test/hd-lang/spec/conformance/parse/valid/uses.hd:6:5: expected-token: expected a module path after use
runtime/valid/resource-disposed-result.hd	runtime	accept	FAIL		hd check --profile disposed-file spec/conformance/runtime/valid/resource-disposed-result.hd	runtime fixture did not type-check	usage: hd <parse|check|test|run|trace|record|replay|build|dump-hir|explain-requirements> [--wat] [--entry NAME] [--profile NAME] [--scenario NAME] [--pending-function NAME] FILE
typing/invalid/annotation-direct-reentry.hd	type	reject:annotation-resolution-reentry	FAIL	expected-expression	hd check spec/conformance/typing/invalid/annotation-direct-reentry.hd	missing annotation-resolution-reentry at line 10	/Users/hd/code/test/hd-lang/spec/conformance/typing/invalid/annotation-direct-reentry.hd:12:1: expected-expression: expected an expression, found 'annotate'
typing/invalid/annotation-top-level-read.hd	type	reject:annotation-top-level-read	FAIL	expected-expression	hd check spec/conformance/typing/invalid/annotation-top-level-read.hd	missing annotation-top-level-read at line 10	/Users/hd/code/test/hd-lang/spec/conformance/typing/invalid/annotation-top-level-read.hd:12:1: expected-expression: expected an expression, found 'annotate'
typing/invalid/configured-facet-not-annotator.hd	type	reject:decorator-not-annotator	FAIL	decorator-not-top-level	hd check spec/conformance/typing/invalid/configured-facet-not-annotator.hd	missing decorator-not-annotator at line 4	/Users/hd/code/test/hd-lang/spec/conformance/typing/invalid/configured-facet-not-annotator.hd:4:1: decorator-not-top-level: decorators are only valid on top-level declarations
typing/invalid/contravariant-representation-change.hd	type	reject:variance-representation-change	FAIL	expected-token	hd check spec/conformance/typing/invalid/contravariant-representation-change.hd	missing variance-representation-change at line 5	/Users/hd/code/test/hd-lang/spec/conformance/typing/invalid/contravariant-representation-change.hd:1:15: expected-token: expected a generic data parameter
