count	compiler	action	outcome
430	c0	parse	accept
430	c1	parse	accept
214	c0	parse	reject:expected-expression
214	c1	parse	reject:expected-expression
188	c0	parse	reject:expected-token
188	c1	parse	reject:expected-token
104	c0	check	accept
104	c1	check	accept
72	c0	check	reject:expected-expression
72	c0	run	reject:expected-expression
72	c0	test	reject:expected-expression
72	c1	check	reject:expected-expression
72	c1	run	reject:expected-expression
72	c1	test	reject:expected-expression
71	c0	parse	reject:decorator-not-top-level
71	c1	parse	reject:decorator-not-top-level
67	c0	run	violation:no-located-code
67	c1	run	violation:no-located-code
54	c0	test	violation:no-located-code
54	c1	test	violation:no-located-code
38	c0	check	reject:unknown-name
38	c0	run	reject:unknown-name
38	c0	test	accept
38	c0	test	reject:unknown-name
38	c1	check	reject:unknown-name
38	c1	run	reject:unknown-name
38	c1	test	accept
38	c1	test	reject:unknown-name
26	c0	run	accept
26	c1	run	accept
21	c0	check	reject:expected-token
21	c0	run	reject:expected-token
21	c0	test	reject:expected-token
21	c1	check	reject:expected-token
21	c1	run	reject:expected-token
21	c1	test	reject:expected-token
19	c0	check	reject:decorator-not-top-level
19	c0	check	reject:unknown-type
19	c0	run	reject:decorator-not-top-level
19	c0	run	reject:unknown-type
19	c0	test	reject:decorator-not-top-level
19	c0	test	reject:unknown-type
19	c1	check	reject:decorator-not-top-level
19	c1	check	reject:unknown-type
19	c1	run	reject:decorator-not-top-level
19	c1	run	reject:unknown-type
19	c1	test	reject:decorator-not-top-level
19	c1	test	reject:unknown-type
17	c0	parse	reject:unsupported-generic-parameter
17	c1	parse	reject:unsupported-generic-parameter
15	c0	check	reject:unknown-trait
15	c0	run	reject:unknown-trait
15	c0	test	reject:unknown-trait
15	c1	check	reject:unknown-trait
15	c1	run	reject:unknown-trait
15	c1	test	reject:unknown-trait
14	c0	check	reject:unsupported-generic-parameter
14	c0	parse	reject:mismatched-delimiter
14	c0	parse	reject:unclosed-delimiter
14	c0	run	reject:unsupported-generic-parameter
14	c0	test	reject:unsupported-generic-parameter
14	c1	check	reject:unsupported-generic-parameter
14	c1	parse	reject:mismatched-delimiter
14	c1	parse	reject:unclosed-delimiter
14	c1	run	reject:unsupported-generic-parameter
14	c1	test	reject:unsupported-generic-parameter
12	c0	check	reject:type-mismatch
12	c0	run	reject:type-mismatch
12	c0	test	reject:type-mismatch
12	c1	check	reject:type-mismatch
12	c1	run	reject:type-mismatch
12	c1	test	reject:type-mismatch
11	c0	parse	reject:expected-newline
11	c1	parse	reject:expected-newline
10	c0	check	reject:duplicate-binding
10	c0	parse	reject:inconsistent-dedent
10	c0	run	reject:duplicate-binding
10	c0	test	reject:duplicate-binding
10	c1	check	reject:duplicate-binding
10	c1	parse	reject:inconsistent-dedent
10	c1	run	reject:duplicate-binding
10	c1	test	reject:duplicate-binding
9	c0	check	reject:integer-literal-range
9	c0	check	reject:private-type-leak
9	c0	run	reject:integer-literal-range
9	c0	run	reject:private-type-leak
9	c0	test	reject:integer-literal-range
9	c0	test	reject:private-type-leak
9	c1	check	reject:integer-literal-range
9	c1	check	reject:private-type-leak
9	c1	run	reject:integer-literal-range
9	c1	run	reject:private-type-leak
9	c1	test	reject:integer-literal-range
9	c1	test	reject:private-type-leak
8	c0	check	reject:missing-return-value
8	c0	run	reject:missing-return-value
8	c0	test	reject:missing-return-value
8	c1	check	reject:missing-return-value
8	c1	run	reject:missing-return-value
8	c1	test	reject:missing-return-value
7	c0	check	reject:duplicate-data-field
7	c0	check	reject:readonly-root
7	c0	run	reject:duplicate-data-field
7	c0	run	reject:readonly-root
7	c0	test	reject:duplicate-data-field
7	c0	test	reject:readonly-root
7	c1	check	reject:duplicate-data-field
7	c1	check	reject:readonly-root
7	c1	run	reject:duplicate-data-field
7	c1	run	reject:readonly-root
7	c1	test	reject:duplicate-data-field
7	c1	test	reject:readonly-root
6	c0	check	reject:mutable-upgrade
6	c0	check	reject:nonexhaustive-match
6	c0	check	reject:readonly-edge
6	c0	run	reject:mutable-upgrade
6	c0	run	reject:nonexhaustive-match
6	c0	run	reject:readonly-edge
6	c0	test	reject:mutable-upgrade
6	c0	test	reject:nonexhaustive-match
6	c0	test	reject:readonly-edge
6	c1	check	reject:mutable-upgrade
6	c1	check	reject:nonexhaustive-match
6	c1	check	reject:readonly-edge
6	c1	run	reject:mutable-upgrade
6	c1	run	reject:nonexhaustive-match
6	c1	run	reject:readonly-edge
6	c1	test	reject:mutable-upgrade
6	c1	test	reject:nonexhaustive-match
6	c1	test	reject:readonly-edge
5	c0	check	reject:break-value-context
5	c0	check	reject:duplicate-type
5	c0	check	reject:missing-required-field
5	c0	check	reject:nonhost-entry-requirement
5	c0	check	reject:prelude-name-shadow
5	c0	parse	reject:doc-comment-without-target
5	c0	run	reject:break-value-context
5	c0	run	reject:duplicate-type
5	c0	run	reject:missing-required-field
5	c0	run	reject:nonhost-entry-requirement
5	c0	run	reject:prelude-name-shadow
5	c0	test	reject:break-value-context
5	c0	test	reject:duplicate-type
5	c0	test	reject:missing-required-field
5	c0	test	reject:nonhost-entry-requirement
5	c0	test	reject:prelude-name-shadow
5	c1	check	reject:break-value-context
5	c1	check	reject:duplicate-type
5	c1	check	reject:missing-required-field
5	c1	check	reject:nonhost-entry-requirement
5	c1	check	reject:prelude-name-shadow
5	c1	parse	reject:doc-comment-without-target
5	c1	run	reject:break-value-context
5	c1	run	reject:duplicate-type
5	c1	run	reject:missing-required-field
5	c1	run	reject:nonhost-entry-requirement
5	c1	run	reject:prelude-name-shadow
5	c1	test	reject:break-value-context
5	c1	test	reject:duplicate-type
5	c1	test	reject:missing-required-field
5	c1	test	reject:nonhost-entry-requirement
5	c1	test	reject:prelude-name-shadow
4	c0	check	reject:bare-variant-pattern
4	c0	check	reject:generic-requirement-key-collision
4	c0	check	reject:missing-requirement
4	c0	parse	reject:missing-impl-body
4	c0	run	panic:explicit-panic
4	c0	run	reject:bare-variant-pattern
4	c0	run	reject:generic-requirement-key-collision
4	c0	run	reject:missing-requirement
4	c0	test	panic:explicit-panic
4	c0	test	reject:bare-variant-pattern
4	c0	test	reject:generic-requirement-key-collision
4	c0	test	reject:missing-requirement
4	c1	check	reject:bare-variant-pattern
4	c1	check	reject:generic-requirement-key-collision
4	c1	check	reject:missing-requirement
4	c1	parse	reject:missing-impl-body
4	c1	run	panic:explicit-panic
4	c1	run	reject:bare-variant-pattern
4	c1	run	reject:generic-requirement-key-collision
4	c1	run	reject:missing-requirement
4	c1	test	panic:explicit-panic
4	c1	test	reject:bare-variant-pattern
4	c1	test	reject:generic-requirement-key-collision
4	c1	test	reject:missing-requirement
3	c0	check	reject:duplicate-field
3	c0	check	reject:duplicate-module-name
3	c0	check	reject:invalid-string-interpolation
3	c0	check	reject:mutable-receiver-required
3	c0	check	reject:possibly-uninitialized-binding
3	c0	check	reject:unreachable-match-arm
3	c0	parse	reject:invalid-string-interpolation
3	c0	run	panic:suspension-invalid-state
3	c0	run	reject:duplicate-field
3	c0	run	reject:duplicate-module-name
3	c0	run	reject:invalid-string-interpolation
3	c0	run	reject:mutable-receiver-required
3	c0	run	reject:possibly-uninitialized-binding
3	c0	run	reject:unreachable-match-arm
3	c0	test	panic:suspension-invalid-state
3	c0	test	reject:duplicate-field
3	c0	test	reject:duplicate-module-name
3	c0	test	reject:invalid-string-interpolation
3	c0	test	reject:mutable-receiver-required
3	c0	test	reject:possibly-uninitialized-binding
3	c0	test	reject:unreachable-match-arm
3	c1	check	reject:duplicate-field
3	c1	check	reject:duplicate-module-name
3	c1	check	reject:invalid-string-interpolation
3	c1	check	reject:mutable-receiver-required
3	c1	check	reject:possibly-uninitialized-binding
3	c1	check	reject:unreachable-match-arm
3	c1	parse	reject:invalid-string-interpolation
3	c1	run	panic:suspension-invalid-state
3	c1	run	reject:duplicate-field
3	c1	run	reject:duplicate-module-name
3	c1	run	reject:invalid-string-interpolation
3	c1	run	reject:mutable-receiver-required
3	c1	run	reject:possibly-uninitialized-binding
3	c1	run	reject:unreachable-match-arm
3	c1	test	panic:suspension-invalid-state
3	c1	test	reject:duplicate-field
3	c1	test	reject:duplicate-module-name
3	c1	test	reject:invalid-string-interpolation
3	c1	test	reject:mutable-receiver-required
3	c1	test	reject:possibly-uninitialized-binding
3	c1	test	reject:unreachable-match-arm
2	c0	check	reject:bang-call-outside-suspension
2	c0	check	reject:discarded-must-use-value
2	c0	check	reject:enum-default-order
2	c0	check	reject:expected-newline
2	c0	check	reject:float-literal-range
2	c0	check	reject:identity-needs-reference-bound
2	c0	check	reject:identity-requires-references
2	c0	check	reject:impure-data-default
2	c0	check	reject:match-arm-type
2	c0	check	reject:missing-contextual-enum-type
2	c0	check	reject:missing-partial-eq
2	c0	check	reject:missing-trait-method
2	c0	check	reject:mixed-numeric-types
2	c0	check	reject:readonly-argument-to-mutable-parameter
2	c0	check	reject:suspension-forbidden-context
2	c0	check	reject:unsupported-equality
2	c0	parse	reject:invalid-assignment-target
2	c0	parse	reject:nonfinal-vararg
2	c0	parse	reject:unsupported-generic-enum-bound
2	c0	parse	reject:unsupported-local-generic-function
2	c0	run	reject:bang-call-outside-suspension
2	c0	run	reject:discarded-must-use-value
2	c0	run	reject:enum-default-order
2	c0	run	reject:expected-newline
2	c0	run	reject:float-literal-range
2	c0	run	reject:identity-needs-reference-bound
2	c0	run	reject:identity-requires-references
2	c0	run	reject:impure-data-default
2	c0	run	reject:match-arm-type
2	c0	run	reject:missing-contextual-enum-type
2	c0	run	reject:missing-partial-eq
2	c0	run	reject:missing-trait-method
2	c0	run	reject:mixed-numeric-types
2	c0	run	reject:readonly-argument-to-mutable-parameter
2	c0	run	reject:suspension-forbidden-context
2	c0	run	reject:unsupported-equality
2	c0	test	panic:suspension-nested-driver
2	c0	test	reject:bang-call-outside-suspension
2	c0	test	reject:discarded-must-use-value
2	c0	test	reject:enum-default-order
2	c0	test	reject:expected-newline
2	c0	test	reject:float-literal-range
2	c0	test	reject:identity-needs-reference-bound
2	c0	test	reject:identity-requires-references
2	c0	test	reject:impure-data-default
2	c0	test	reject:match-arm-type
2	c0	test	reject:missing-contextual-enum-type
2	c0	test	reject:missing-partial-eq
2	c0	test	reject:missing-trait-method
2	c0	test	reject:mixed-numeric-types
2	c0	test	reject:readonly-argument-to-mutable-parameter
2	c0	test	reject:suspension-forbidden-context
2	c0	test	reject:unsupported-equality
2	c1	check	reject:bang-call-outside-suspension
2	c1	check	reject:discarded-must-use-value
2	c1	check	reject:enum-default-order
2	c1	check	reject:expected-newline
2	c1	check	reject:float-literal-range
2	c1	check	reject:identity-needs-reference-bound
2	c1	check	reject:identity-requires-references
2	c1	check	reject:impure-data-default
2	c1	check	reject:match-arm-type
2	c1	check	reject:missing-contextual-enum-type
2	c1	check	reject:missing-partial-eq
2	c1	check	reject:missing-trait-method
2	c1	check	reject:mixed-numeric-types
2	c1	check	reject:readonly-argument-to-mutable-parameter
2	c1	check	reject:suspension-forbidden-context
2	c1	check	reject:unsupported-equality
2	c1	parse	reject:invalid-assignment-target
2	c1	parse	reject:nonfinal-vararg
2	c1	parse	reject:unsupported-generic-enum-bound
2	c1	parse	reject:unsupported-local-generic-function
