count	action	code
144	check	expected-expression
144	run	expected-expression
144	test	expected-expression
80	check	unknown-name
80	run	unknown-name
80	test	unknown-name
42	check	expected-token
42	run	expected-token
42	test	expected-token
38	check	unknown-type
38	run	unknown-type
38	test	unknown-type
30	check	unknown-trait
30	run	unknown-trait
30	test	unknown-trait
28	check	type-mismatch
28	check	unsupported-generic-parameter
28	run	type-mismatch
28	run	unsupported-generic-parameter
28	test	type-mismatch
28	test	unsupported-generic-parameter
22	check	duplicate-binding
22	run	duplicate-binding
22	test	duplicate-binding
14	check	duplicate-data-field
14	run	duplicate-data-field
14	test	duplicate-data-field
10	check	duplicate-type
10	run	duplicate-type
10	test	duplicate-type
6	check	invalid-string-interpolation
6	check	unreachable-match-arm
6	run	invalid-string-interpolation
6	run	unreachable-match-arm
6	test	invalid-string-interpolation
6	test	unreachable-match-arm
4	check	duplicate-variant
4	check	expected-newline
4	check	match-arm-type
4	check	nil-needs-optional-type
4	run	duplicate-variant
4	run	expected-newline
4	run	match-arm-type
4	run	nil-needs-optional-type
4	test	duplicate-variant
4	test	expected-newline
4	test	match-arm-type
4	test	nil-needs-optional-type
2	check	break-outside-loop
2	check	duplicate-impl-member
2	check	duplicate-trait-impl
2	check	generic-type-mismatch
2	check	impure-parameter-default
2	check	invalid-assignment-target
2	check	pattern-type-mismatch
2	check	result-constructor-needs-context
2	check	unsupported-match-subject
2	run	break-outside-loop
2	run	duplicate-impl-member
2	run	duplicate-trait-impl
2	run	generic-type-mismatch
2	run	impure-parameter-default
2	run	invalid-assignment-target
2	run	pattern-type-mismatch
2	run	result-constructor-needs-context
2	run	unsupported-match-subject
2	test	break-outside-loop
2	test	duplicate-impl-member
2	test	duplicate-trait-impl
2	test	generic-type-mismatch
2	test	impure-parameter-default
2	test	invalid-assignment-target
2	test	pattern-type-mismatch
2	test	result-constructor-needs-context
2	test	unsupported-match-subject
