count	compiler	action	outcome
3808	c0	parse	accept
1192	c0	check	accept
832	c0	run	violation:no-located-code
694	c0	test	violation:no-located-code
530	c0	check	reject:expected-expression
530	c0	parse	reject:expected-expression
530	c0	run	reject:expected-expression
530	c0	test	reject:expected-expression
374	c0	test	accept
353	c0	check	reject:unknown-name
353	c0	run	reject:unknown-name
353	c0	test	reject:unknown-name
261	c0	check	reject:expected-token
261	c0	parse	reject:expected-token
261	c0	run	reject:expected-token
261	c0	test	reject:expected-token
258	c0	run	accept
254	c0	check	reject:unknown-type
254	c0	run	reject:unknown-type
254	c0	test	reject:unknown-type
170	c0	check	reject:decorator-not-top-level
170	c0	parse	reject:decorator-not-top-level
170	c0	run	reject:decorator-not-top-level
170	c0	test	reject:decorator-not-top-level
150	c0	check	reject:type-mismatch
150	c0	run	reject:type-mismatch
150	c0	test	reject:type-mismatch
112	c0	check	reject:unsupported-generic-parameter
112	c0	parse	reject:unsupported-generic-parameter
112	c0	run	reject:unsupported-generic-parameter
112	c0	test	reject:unsupported-generic-parameter
89	c0	check	reject:duplicate-binding
89	c0	run	reject:duplicate-binding
89	c0	test	reject:duplicate-binding
79	c0	check	reject:duplicate-data-field
79	c0	run	reject:duplicate-data-field
79	c0	test	reject:duplicate-data-field
73	c0	check	reject:unknown-trait
73	c0	run	reject:unknown-trait
73	c0	test	reject:unknown-trait
72	c0	check	reject:private-type-leak
72	c0	run	reject:private-type-leak
72	c0	test	reject:private-type-leak
71	c0	check	reject:readonly-root
71	c0	run	reject:readonly-root
71	c0	test	reject:readonly-root
63	c0	check	reject:integer-literal-range
63	c0	run	reject:integer-literal-range
63	c0	test	reject:integer-literal-range
52	c0	check	reject:missing-return-value
52	c0	run	reject:missing-return-value
52	c0	test	reject:missing-return-value
46	c0	check	reject:expected-newline
46	c0	parse	reject:expected-newline
46	c0	run	reject:expected-newline
46	c0	test	reject:expected-newline
44	c0	check	reject:nonexhaustive-match
44	c0	run	reject:nonexhaustive-match
44	c0	test	reject:nonexhaustive-match
42	c0	check	reject:invalid-string-interpolation
42	c0	parse	reject:invalid-string-interpolation
42	c0	run	reject:invalid-string-interpolation
42	c0	test	reject:invalid-string-interpolation
41	c0	check	reject:missing-requirement
41	c0	check	reject:prelude-name-shadow
41	c0	run	reject:missing-requirement
41	c0	run	reject:prelude-name-shadow
41	c0	test	reject:missing-requirement
41	c0	test	reject:prelude-name-shadow
39	c0	check	reject:suspension-forbidden-context
39	c0	run	reject:suspension-forbidden-context
39	c0	test	reject:suspension-forbidden-context
37	c0	check	reject:invalid-map-key
37	c0	run	reject:invalid-map-key
37	c0	test	reject:invalid-map-key
36	c0	check	reject:duplicate-trait-member
36	c0	run	reject:duplicate-trait-member
36	c0	test	reject:duplicate-trait-member
34	c0	check	reject:missing-partial-eq
34	c0	check	reject:no-common-type
34	c0	run	reject:missing-partial-eq
34	c0	run	reject:no-common-type
34	c0	test	reject:missing-partial-eq
34	c0	test	reject:no-common-type
33	c0	check	reject:discarded-must-use-value
33	c0	run	reject:discarded-must-use-value
33	c0	test	reject:discarded-must-use-value
32	c0	check	reject:nonhost-entry-requirement
32	c0	run	reject:nonhost-entry-requirement
32	c0	test	reject:nonhost-entry-requirement
30	c0	check	reject:duplicate-type
30	c0	run	reject:duplicate-type
30	c0	test	reject:duplicate-type
27	c0	check	reject:mutable-upgrade
27	c0	run	reject:mutable-upgrade
27	c0	test	reject:mutable-upgrade
26	c0	check	reject:mutable-receiver-required
26	c0	run	panic:iterator-invalidated
26	c0	run	reject:mutable-receiver-required
26	c0	test	panic:iterator-invalidated
26	c0	test	reject:mutable-receiver-required
25	c0	check	reject:missing-contextual-enum-type
25	c0	run	reject:missing-contextual-enum-type
25	c0	test	reject:missing-contextual-enum-type
24	c0	check	reject:duplicate-embedded-field
24	c0	check	reject:trait-method-signature
24	c0	run	reject:duplicate-embedded-field
24	c0	run	reject:trait-method-signature
24	c0	test	reject:duplicate-embedded-field
24	c0	test	reject:trait-method-signature
23	c0	check	reject:duplicate-field
23	c0	check	reject:identity-requires-references
23	c0	run	reject:duplicate-field
23	c0	run	reject:identity-requires-references
23	c0	test	reject:duplicate-field
23	c0	test	reject:identity-requires-references
22	c0	check	reject:partial-generic-arguments
22	c0	check	reject:sealed-trait-implementation
22	c0	run	reject:partial-generic-arguments
22	c0	run	reject:sealed-trait-implementation
22	c0	test	reject:partial-generic-arguments
22	c0	test	reject:sealed-trait-implementation
21	c0	check	reject:break-value-context
21	c0	check	reject:non-reassignable-parameter-binding
21	c0	check	reject:unsupported-string-indexing
21	c0	run	reject:break-value-context
21	c0	run	reject:non-reassignable-parameter-binding
21	c0	run	reject:unsupported-string-indexing
21	c0	test	reject:break-value-context
21	c0	test	reject:non-reassignable-parameter-binding
21	c0	test	reject:unsupported-string-indexing
20	c0	check	reject:duplicate-variant
20	c0	check	reject:recursive-closure-needs-result-type
20	c0	run	reject:duplicate-variant
20	c0	run	reject:recursive-closure-needs-result-type
20	c0	test	reject:duplicate-variant
20	c0	test	reject:recursive-closure-needs-result-type
19	c0	check	reject:bang-call-outside-suspension
19	c0	check	reject:float-literal-range
19	c0	check	reject:nonfinal-positional-spread
19	c0	check	reject:promoted-mutable-requirement
19	c0	check	reject:trait-not-dynamically-safe
19	c0	parse	reject:nonfinal-positional-spread
19	c0	run	reject:bang-call-outside-suspension
19	c0	run	reject:float-literal-range
19	c0	run	reject:nonfinal-positional-spread
19	c0	run	reject:promoted-mutable-requirement
19	c0	run	reject:trait-not-dynamically-safe
19	c0	test	panic:suspension-nested-driver
19	c0	test	reject:bang-call-outside-suspension
19	c0	test	reject:float-literal-range
19	c0	test	reject:nonfinal-positional-spread
19	c0	test	reject:promoted-mutable-requirement
19	c0	test	reject:trait-not-dynamically-safe
18	c0	check	reject:missing-required-field
18	c0	check	reject:orphan-impl
18	c0	check	reject:suspending-defer
18	c0	check	reject:unsupported-equality
18	c0	run	reject:missing-required-field
18	c0	run	reject:orphan-impl
18	c0	run	reject:suspending-defer
18	c0	run	reject:unsupported-equality
18	c0	test	reject:missing-required-field
18	c0	test	reject:orphan-impl
18	c0	test	reject:suspending-defer
18	c0	test	reject:unsupported-equality
17	c0	check	reject:missing-partial-ord
17	c0	check	reject:readonly-edge
17	c0	check	reject:unreachable-match-arm
17	c0	check	reject:unresolved-generic-placeholder
17	c0	run	panic:explicit-panic
17	c0	run	panic:integer-overflow
17	c0	run	reject:missing-partial-ord
17	c0	run	reject:readonly-edge
17	c0	run	reject:unreachable-match-arm
17	c0	run	reject:unresolved-generic-placeholder
17	c0	test	panic:explicit-panic
17	c0	test	panic:integer-overflow
17	c0	test	reject:missing-partial-ord
17	c0	test	reject:readonly-edge
17	c0	test	reject:unreachable-match-arm
17	c0	test	reject:unresolved-generic-placeholder
16	c0	check	reject:argument-count
16	c0	check	reject:duplicate-inherent-member
16	c0	check	reject:duplicate-module-name
16	c0	check	reject:enum-default-order
16	c0	check	reject:impure-enum-default
16	c0	check	reject:mixed-numeric-types
16	c0	run	reject:argument-count
16	c0	run	reject:duplicate-inherent-member
16	c0	run	reject:duplicate-module-name
16	c0	run	reject:enum-default-order
16	c0	run	reject:impure-enum-default
16	c0	run	reject:mixed-numeric-types
16	c0	test	reject:argument-count
16	c0	test	reject:duplicate-inherent-member
16	c0	test	reject:duplicate-module-name
16	c0	test	reject:enum-default-order
16	c0	test	reject:impure-enum-default
16	c0	test	reject:mixed-numeric-types
15	c0	check	reject:ambiguous-method
15	c0	check	reject:defer-outside-cleanup-scope
15	c0	check	reject:duplicate-data-pattern-field
15	c0	check	reject:impure-data-default
15	c0	check	reject:missing-trait-method
15	c0	check	reject:supertrait-cycle
15	c0	run	reject:ambiguous-method
15	c0	run	reject:defer-outside-cleanup-scope
15	c0	run	reject:duplicate-data-pattern-field
15	c0	run	reject:impure-data-default
15	c0	run	reject:missing-trait-method
15	c0	run	reject:supertrait-cycle
15	c0	test	reject:ambiguous-method
15	c0	test	reject:defer-outside-cleanup-scope
15	c0	test	reject:duplicate-data-pattern-field
15	c0	test	reject:impure-data-default
15	c0	test	reject:missing-trait-method
15	c0	test	reject:supertrait-cycle
14	c0	check	reject:bare-variant-pattern
14	c0	check	reject:binding-not-yet-visible
14	c0	check	reject:optional-pattern-requires-optional
14	c0	check	reject:unknown-data-field
14	c0	run	reject:bare-variant-pattern
14	c0	run	reject:binding-not-yet-visible
14	c0	run	reject:optional-pattern-requires-optional
14	c0	run	reject:unknown-data-field
14	c0	test	reject:bare-variant-pattern
14	c0	test	reject:binding-not-yet-visible
14	c0	test	reject:optional-pattern-requires-optional
14	c0	test	reject:unknown-data-field
13	c0	check	reject:nil-needs-optional-type
13	c0	check	reject:possibly-uninitialized-binding
13	c0	check	reject:result-constructor-needs-context
13	c0	check	reject:unsaturated-enum-constructor
13	c0	run	reject:nil-needs-optional-type
13	c0	run	reject:possibly-uninitialized-binding
13	c0	run	reject:result-constructor-needs-context
13	c0	run	reject:unsaturated-enum-constructor
13	c0	test	reject:nil-needs-optional-type
13	c0	test	reject:possibly-uninitialized-binding
13	c0	test	reject:result-constructor-needs-context
13	c0	test	reject:unsaturated-enum-constructor
12	c0	run	panic:index-out-of-bounds
12	c0	test	panic:index-out-of-bounds
11	c0	check	reject:identity-needs-reference-bound
11	c0	run	reject:identity-needs-reference-bound
11	c0	test	panic:assertion-failed
11	c0	test	reject:identity-needs-reference-bound
10	c0	check	reject:duplicate-impl-member
10	c0	check	reject:generic-requirement-key-collision
10	c0	check	reject:match-arm-type
10	c0	check	reject:nonnumeric-unary-plus
10	c0	run	reject:duplicate-impl-member
10	c0	run	reject:generic-requirement-key-collision
10	c0	run	reject:match-arm-type
10	c0	run	reject:nonnumeric-unary-plus
10	c0	test	reject:duplicate-impl-member
10	c0	test	reject:generic-requirement-key-collision
10	c0	test	reject:match-arm-type
10	c0	test	reject:nonnumeric-unary-plus
9	c0	check	reject:non-reassignable-binding
9	c0	check	reject:readonly-argument-to-mutable-parameter
9	c0	run	reject:non-reassignable-binding
9	c0	run	reject:readonly-argument-to-mutable-parameter
9	c0	test	reject:non-reassignable-binding
9	c0	test	reject:readonly-argument-to-mutable-parameter
8	c0	run	panic:suspension-nested-driver
7	c0	check	reject:pattern-type-mismatch
7	c0	check	reject:top-level-read-before-initialization
7	c0	check	reject:unknown-variant
7	c0	run	panic:suspension-invalid-state
7	c0	run	panic:suspension-reentrant-poll
7	c0	run	reject:pattern-type-mismatch
7	c0	run	reject:top-level-read-before-initialization
7	c0	run	reject:unknown-variant
7	c0	test	panic:suspension-invalid-state
7	c0	test	panic:suspension-reentrant-poll
7	c0	test	reject:pattern-type-mismatch
7	c0	test	reject:top-level-read-before-initialization
7	c0	test	reject:unknown-variant
5	c0	check	reject:reserved-name
5	c0	check	reject:return-outside-function
5	c0	parse	reject:reserved-name
5	c0	run	panic:invalid-shift
5	c0	run	reject:reserved-name
5	c0	run	reject:return-outside-function
5	c0	test	panic:invalid-shift
5	c0	test	reject:reserved-name
5	c0	test	reject:return-outside-function
4	c0	check	reject:duplicate-trait-impl
4	c0	check	reject:if-branch-type
4	c0	run	reject:duplicate-trait-impl
4	c0	run	reject:if-branch-type
4	c0	test	reject:duplicate-trait-impl
4	c0	test	reject:if-branch-type
3	c0	check	reject:generic-type-mismatch
3	c0	check	reject:invalid-assignment-target
3	c0	check	reject:overlapping-impl
3	c0	check	reject:unknown-method
3	c0	parse	reject:invalid-assignment-target
3	c0	run	panic:integer-division-by-zero
3	c0	run	reject:generic-type-mismatch
3	c0	run	reject:invalid-assignment-target
3	c0	run	reject:overlapping-impl
3	c0	run	reject:unknown-method
3	c0	test	panic:integer-division-by-zero
3	c0	test	reject:generic-type-mismatch
3	c0	test	reject:invalid-assignment-target
3	c0	test	reject:overlapping-impl
3	c0	test	reject:unknown-method
2	c0	check	reject:break-outside-loop
2	c0	check	reject:interpolated-pattern
2	c0	check	reject:invalid-optional-propagation
2	c0	check	reject:invalid-result-propagation
2	c0	check	reject:member-on-non-data
2	c0	check	reject:not-callable
2	c0	check	reject:pattern-arity
2	c0	parse	reject:interpolated-pattern
2	c0	run	reject:break-outside-loop
2	c0	run	reject:interpolated-pattern
2	c0	run	reject:invalid-optional-propagation
2	c0	run	reject:invalid-result-propagation
2	c0	run	reject:member-on-non-data
2	c0	run	reject:not-callable
2	c0	run	reject:pattern-arity
2	c0	test	reject:break-outside-loop
2	c0	test	reject:interpolated-pattern
2	c0	test	reject:invalid-optional-propagation
2	c0	test	reject:invalid-result-propagation
2	c0	test	reject:member-on-non-data
2	c0	test	reject:not-callable
2	c0	test	reject:pattern-arity
1	c0	check	reject:empty-list-needs-context
1	c0	check	reject:extra-trait-member
1	c0	check	reject:generic-function-value-needs-arguments
1	c0	check	reject:missing-impl-body
1	c0	check	reject:nonfinal-vararg
1	c0	check	reject:positional-spread-needs-vararg
1	c0	check	reject:unsupported-gadt-result
1	c0	check	reject:unsupported-local-generic-function
1	c0	parse	reject:missing-impl-body
1	c0	parse	reject:unsupported-local-generic-function
1	c0	run	reject:empty-list-needs-context
1	c0	run	reject:extra-trait-member
1	c0	run	reject:generic-function-value-needs-arguments
1	c0	run	reject:missing-impl-body
1	c0	run	reject:nonfinal-vararg
1	c0	run	reject:positional-spread-needs-vararg
1	c0	run	reject:unsupported-gadt-result
1	c0	run	reject:unsupported-local-generic-function
1	c0	test	reject:empty-list-needs-context
1	c0	test	reject:extra-trait-member
1	c0	test	reject:generic-function-value-needs-arguments
1	c0	test	reject:missing-impl-body
1	c0	test	reject:nonfinal-vararg
1	c0	test	reject:positional-spread-needs-vararg
1	c0	test	reject:unsupported-gadt-result
1	c0	test	reject:unsupported-local-generic-function
