count	action	code
530	check	expected-expression
530	run	expected-expression
530	test	expected-expression
373	check	unknown-name
373	run	unknown-name
373	test	unknown-name
261	check	expected-token
261	run	expected-token
261	test	expected-token
255	check	unknown-type
255	run	unknown-type
255	test	unknown-type
162	check	type-mismatch
162	run	type-mismatch
162	test	type-mismatch
112	check	unsupported-generic-parameter
112	run	unsupported-generic-parameter
112	test	unsupported-generic-parameter
89	check	duplicate-binding
89	run	duplicate-binding
89	test	duplicate-binding
79	check	duplicate-data-field
79	run	duplicate-data-field
79	test	duplicate-data-field
73	check	unknown-trait
73	run	unknown-trait
73	test	unknown-trait
46	check	expected-newline
46	run	expected-newline
46	test	expected-newline
42	check	invalid-string-interpolation
42	run	invalid-string-interpolation
42	test	invalid-string-interpolation
30	check	duplicate-type
30	run	duplicate-type
30	test	duplicate-type
24	check	duplicate-variant
24	run	duplicate-variant
24	test	duplicate-variant
17	check	argument-count
17	check	unreachable-match-arm
17	run	argument-count
17	run	unreachable-match-arm
17	test	argument-count
17	test	unreachable-match-arm
14	check	unknown-data-field
14	run	unknown-data-field
14	test	unknown-data-field
13	check	nil-needs-optional-type
13	check	result-constructor-needs-context
13	run	nil-needs-optional-type
13	run	result-constructor-needs-context
13	test	nil-needs-optional-type
13	test	result-constructor-needs-context
10	check	duplicate-impl-member
10	check	match-arm-type
10	run	duplicate-impl-member
10	run	match-arm-type
10	test	duplicate-impl-member
10	test	match-arm-type
8	check	duplicate-trait-impl
8	run	duplicate-trait-impl
8	test	duplicate-trait-impl
7	check	pattern-type-mismatch
7	check	unknown-variant
7	run	pattern-type-mismatch
7	run	unknown-variant
7	test	pattern-type-mismatch
7	test	unknown-variant
4	check	if-branch-type
4	run	if-branch-type
4	test	if-branch-type
3	check	generic-type-mismatch
3	check	invalid-assignment-target
3	check	unknown-method
3	run	generic-type-mismatch
3	run	invalid-assignment-target
3	run	unknown-method
3	test	generic-type-mismatch
3	test	invalid-assignment-target
3	test	unknown-method
2	check	break-outside-loop
2	check	interpolated-pattern
2	check	invalid-optional-propagation
2	check	invalid-result-propagation
2	check	member-on-non-data
2	check	not-callable
2	check	pattern-arity
2	run	break-outside-loop
2	run	interpolated-pattern
2	run	invalid-optional-propagation
2	run	invalid-result-propagation
2	run	member-on-non-data
2	run	not-callable
2	run	pattern-arity
2	test	break-outside-loop
2	test	interpolated-pattern
2	test	invalid-optional-propagation
2	test	invalid-result-propagation
2	test	member-on-non-data
2	test	not-callable
2	test	pattern-arity
1	check	empty-list-needs-context
1	check	extra-trait-member
1	check	generic-function-value-needs-arguments
1	check	missing-impl-body
1	check	missing-variant-result
1	check	nonfinal-vararg
1	check	positional-spread-needs-vararg
1	check	tuple-arity
1	check	unsupported-gadt-result
1	check	unsupported-local-generic-function
1	run	empty-list-needs-context
1	run	extra-trait-member
1	run	generic-function-value-needs-arguments
1	run	missing-impl-body
1	run	missing-variant-result
1	run	nonfinal-vararg
1	run	positional-spread-needs-vararg
1	run	tuple-arity
1	run	unsupported-gadt-result
1	run	unsupported-local-generic-function
1	test	empty-list-needs-context
1	test	extra-trait-member
1	test	generic-function-value-needs-arguments
1	test	missing-impl-body
1	test	missing-variant-result
1	test	nonfinal-vararg
1	test	positional-spread-needs-vararg
1	test	tuple-arity
1	test	unsupported-gadt-result
1	test	unsupported-local-generic-function
