count	compiler	action	outcome
1632	c0	parse	reject:expected-token
1415	c0	parse	reject:expected-expression
580	c0	parse	accept
565	c0	parse	reject:decorator-not-top-level
159	c0	parse	reject:mismatched-delimiter
128	c0	parse	reject:expected-newline
122	c0	parse	reject:unclosed-delimiter
72	c0	parse	reject:inconsistent-dedent
59	c0	parse	reject:unsupported-generic-parameter
44	c0	parse	reject:missing-impl-body
36	c0	parse	reject:doc-comment-without-target
31	c0	parse	reject:missing-let
22	c0	parse	reject:unsupported-local-generic-function
19	c0	parse	reject:nonfinal-vararg
17	c0	parse	reject:invalid-string-interpolation
11	c0	parse	reject:reserved-name
9	c0	parse	reject:duplicate-mutable-permission
8	c0	parse	reject:unsupported-generic-enum-bound
7	c0	parse	reject:invalid-escape
7	c0	parse	reject:reserved-semicolon
5	c0	parse	reject:tab-whitespace
5	c0	parse	reject:unexpected-bom
4	c0	parse	reject:trailing-block-position
3	c0	parse	reject:argument-order
3	c0	parse	reject:comparison-chaining
3	c0	parse	reject:multi-binding-needs-parentheses
3	c0	parse	reject:mutable-embedded-field
3	c0	parse	reject:nonfinal-positional-spread
3	c0	parse	reject:old-import-declaration
3	c0	parse	reject:old-struct-declaration
3	c0	parse	reject:unsupported-generic-data-bound
3	c0	parse	reject:unterminated-string
2	c0	parse	reject:direct-variant-use
2	c0	parse	reject:duplicate-generic-parameter
2	c0	parse	reject:expected-comprehension-clause
2	c0	parse	reject:invalid-assignment-target
2	c0	parse	reject:mutable-field-modifier
2	c0	parse	reject:old-export-declaration
1	c0	parse	reject:generic-arity
1	c0	parse	reject:pattern-order
1	c0	parse	reject:trait-method-visibility
1	c0	parse	reject:unsupported-type-form
