count	compiler	action	outcome
1192	c0	check	accept
530	c0	check	reject:expected-expression
353	c0	check	reject:unknown-name
261	c0	check	reject:expected-token
254	c0	check	reject:unknown-type
170	c0	check	reject:decorator-not-top-level
150	c0	check	reject:type-mismatch
112	c0	check	reject:unsupported-generic-parameter
89	c0	check	reject:duplicate-binding
79	c0	check	reject:duplicate-data-field
73	c0	check	reject:unknown-trait
72	c0	check	reject:private-type-leak
71	c0	check	reject:readonly-root
63	c0	check	reject:integer-literal-range
52	c0	check	reject:missing-return-value
46	c0	check	reject:expected-newline
44	c0	check	reject:nonexhaustive-match
42	c0	check	reject:invalid-string-interpolation
41	c0	check	reject:missing-requirement
41	c0	check	reject:prelude-name-shadow
39	c0	check	reject:suspension-forbidden-context
37	c0	check	reject:invalid-map-key
36	c0	check	reject:duplicate-trait-member
34	c0	check	reject:missing-partial-eq
34	c0	check	reject:no-common-type
33	c0	check	reject:discarded-must-use-value
32	c0	check	reject:nonhost-entry-requirement
30	c0	check	reject:duplicate-type
27	c0	check	reject:mutable-upgrade
26	c0	check	reject:mutable-receiver-required
25	c0	check	reject:missing-contextual-enum-type
24	c0	check	reject:duplicate-embedded-field
24	c0	check	reject:trait-method-signature
23	c0	check	reject:duplicate-field
23	c0	check	reject:identity-requires-references
22	c0	check	reject:partial-generic-arguments
22	c0	check	reject:sealed-trait-implementation
21	c0	check	reject:break-value-context
21	c0	check	reject:non-reassignable-parameter-binding
21	c0	check	reject:unsupported-string-indexing
20	c0	check	reject:duplicate-variant
20	c0	check	reject:recursive-closure-needs-result-type
19	c0	check	reject:bang-call-outside-suspension
19	c0	check	reject:float-literal-range
19	c0	check	reject:nonfinal-positional-spread
19	c0	check	reject:promoted-mutable-requirement
19	c0	check	reject:trait-not-dynamically-safe
18	c0	check	reject:missing-required-field
18	c0	check	reject:orphan-impl
18	c0	check	reject:suspending-defer
18	c0	check	reject:unsupported-equality
17	c0	check	reject:missing-partial-ord
17	c0	check	reject:readonly-edge
17	c0	check	reject:unreachable-match-arm
17	c0	check	reject:unresolved-generic-placeholder
16	c0	check	reject:argument-count
16	c0	check	reject:duplicate-inherent-member
16	c0	check	reject:duplicate-module-name
16	c0	check	reject:enum-default-order
16	c0	check	reject:impure-enum-default
16	c0	check	reject:mixed-numeric-types
15	c0	check	reject:ambiguous-method
15	c0	check	reject:defer-outside-cleanup-scope
15	c0	check	reject:duplicate-data-pattern-field
15	c0	check	reject:impure-data-default
15	c0	check	reject:missing-trait-method
15	c0	check	reject:supertrait-cycle
14	c0	check	reject:bare-variant-pattern
14	c0	check	reject:binding-not-yet-visible
14	c0	check	reject:optional-pattern-requires-optional
14	c0	check	reject:unknown-data-field
13	c0	check	reject:nil-needs-optional-type
13	c0	check	reject:possibly-uninitialized-binding
13	c0	check	reject:result-constructor-needs-context
13	c0	check	reject:unsaturated-enum-constructor
11	c0	check	reject:identity-needs-reference-bound
10	c0	check	reject:duplicate-impl-member
10	c0	check	reject:generic-requirement-key-collision
10	c0	check	reject:match-arm-type
10	c0	check	reject:nonnumeric-unary-plus
9	c0	check	reject:non-reassignable-binding
9	c0	check	reject:readonly-argument-to-mutable-parameter
7	c0	check	reject:pattern-type-mismatch
7	c0	check	reject:top-level-read-before-initialization
7	c0	check	reject:unknown-variant
5	c0	check	reject:reserved-name
5	c0	check	reject:return-outside-function
4	c0	check	reject:duplicate-trait-impl
4	c0	check	reject:if-branch-type
3	c0	check	reject:generic-type-mismatch
3	c0	check	reject:invalid-assignment-target
3	c0	check	reject:overlapping-impl
3	c0	check	reject:unknown-method
2	c0	check	reject:break-outside-loop
2	c0	check	reject:interpolated-pattern
2	c0	check	reject:invalid-optional-propagation
2	c0	check	reject:invalid-result-propagation
2	c0	check	reject:member-on-non-data
2	c0	check	reject:not-callable
2	c0	check	reject:pattern-arity
1	c0	check	reject:empty-list-needs-context
1	c0	check	reject:extra-trait-member
1	c0	check	reject:generic-function-value-needs-arguments
1	c0	check	reject:missing-impl-body
1	c0	check	reject:nonfinal-vararg
1	c0	check	reject:positional-spread-needs-vararg
1	c0	check	reject:unsupported-gadt-result
1	c0	check	reject:unsupported-local-generic-function
