id	count	first_case	signature	origin	details
01-7e7def6eec28	2227	7	contract|uninventoried-code:check|*	mutate:typing/invalid/nil-to-any.hd:splice-line+delete-line+replace-literal	unknown-type ; expected-expression ; expected-token ; duplicate-binding ; unknown-trait ; type-mismatch
02-cbd58a51c971	2227	7	contract|uninventoried-code:run|*	mutate:typing/invalid/nil-to-any.hd:splice-line+delete-line+replace-literal	unknown-type ; expected-expression ; expected-token ; duplicate-binding ; unknown-trait ; type-mismatch
03-a250a47f9535	2227	7	contract|uninventoried-code:test|*	mutate:typing/invalid/nil-to-any.hd:splice-line+delete-line+replace-literal	unknown-type ; expected-expression ; expected-token ; duplicate-binding ; unknown-trait ; type-mismatch
04-f30321e32b51	821	1	contract|violation:run|no-located-code:Error: program has no exported main function	mutate:typing/invalid/nonfinal-positional-value-pack.hd:delete-line+delete-line	Error: program has no exported main function
05-5bce741f092c	679	1	contract|violation:test|no-located-code:Error: program has no main function or test blocks	mutate:typing/invalid/nonfinal-positional-value-pack.hd:delete-line+delete-line	Error: program has no main function or test blocks
06-81c906bdb45e	1	96	contract|violation:run|no-located-code:WasmValidationError: Binaryen rejected generated Wasm	mutate:typing/valid/option-result.hd:replace-literal	WasmValidationError: Binaryen rejected generated Wasm
07-ce9fa8ff5336	1	96	contract|violation:test|no-located-code:WasmValidationError: Binaryen rejected generated Wasm	mutate:typing/valid/option-result.hd:replace-literal	WasmValidationError: Binaryen rejected generated Wasm
08-890fdbac8bbb	15	187	contract|violation:run|no-located-code:WasmValidationError: Binaryen could not parse generated WAT: [object Object]	seed:typing/valid/resource-disposed-result.hd	WasmValidationError: Binaryen could not parse generated WAT: [object Object]
09-d1d667b8b29f	15	187	contract|violation:test|no-located-code:WasmValidationError: Binaryen could not parse generated WAT: [object Object]	seed:typing/valid/resource-disposed-result.hd	WasmValidationError: Binaryen could not parse generated WAT: [object Object]
10-5173187f8489	10	479	contract|violation:run|no-located-code:Error: main has no runnable export	mutate:typing/valid/console-error-entry.hd:swap-tokens	Error: main has no runnable export
11-426b3056c2cd	10	479	contract|violation:test|no-located-code:Error: main has no runnable export	mutate:typing/valid/console-error-entry.hd:swap-tokens	Error: main has no runnable export
