count	action	code
506	check	expected-expression
506	run	expected-expression
506	test	expected-expression
376	check	unknown-name
376	run	unknown-name
376	test	unknown-name
293	check	expected-token
293	run	expected-token
293	test	expected-token
273	check	unknown-type
273	run	unknown-type
273	test	unknown-type
149	check	type-mismatch
149	run	type-mismatch
149	test	type-mismatch
106	check	unsupported-generic-parameter
106	run	unsupported-generic-parameter
106	test	unsupported-generic-parameter
102	check	unknown-trait
102	run	unknown-trait
102	test	unknown-trait
98	check	duplicate-binding
98	run	duplicate-binding
98	test	duplicate-binding
69	check	duplicate-data-field
69	run	duplicate-data-field
69	test	duplicate-data-field
45	check	expected-newline
45	run	expected-newline
45	test	expected-newline
38	check	invalid-string-interpolation
38	run	invalid-string-interpolation
38	test	invalid-string-interpolation
29	check	duplicate-type
29	run	duplicate-type
29	test	duplicate-type
22	check	duplicate-variant
22	run	duplicate-variant
22	test	duplicate-variant
14	check	unreachable-match-arm
14	run	unreachable-match-arm
14	test	unreachable-match-arm
12	check	argument-count
12	check	nil-needs-optional-type
12	run	argument-count
12	run	nil-needs-optional-type
12	test	argument-count
12	test	nil-needs-optional-type
11	check	result-constructor-needs-context
11	run	result-constructor-needs-context
11	test	result-constructor-needs-context
8	check	duplicate-impl-member
8	check	unknown-method
8	run	duplicate-impl-member
8	run	unknown-method
8	test	duplicate-impl-member
8	test	unknown-method
7	check	unknown-data-field
7	run	unknown-data-field
7	test	unknown-data-field
6	check	match-arm-type
6	run	match-arm-type
6	test	match-arm-type
4	check	generic-type-mismatch
4	check	impure-parameter-default
4	check	unknown-variant
4	check	unsupported-gadt-result
4	run	generic-type-mismatch
4	run	impure-parameter-default
4	run	unknown-variant
4	run	unsupported-gadt-result
4	test	generic-type-mismatch
4	test	impure-parameter-default
4	test	unknown-variant
4	test	unsupported-gadt-result
3	check	break-outside-loop
3	check	extra-trait-method
3	check	invalid-result-propagation
3	check	not-callable
3	run	break-outside-loop
3	run	extra-trait-method
3	run	invalid-result-propagation
3	run	not-callable
3	test	break-outside-loop
3	test	extra-trait-method
3	test	invalid-result-propagation
3	test	not-callable
2	check	if-branch-type
2	check	invalid-assignment-target
2	check	missing-variant-result
2	run	if-branch-type
2	run	invalid-assignment-target
2	run	missing-variant-result
2	test	if-branch-type
2	test	invalid-assignment-target
2	test	missing-variant-result
1	check	duplicate-trait-impl
1	check	empty-list-needs-context
1	check	interpolated-pattern
1	check	invalid-unary-operand
1	check	member-on-non-data
1	check	nonfinal-vararg
1	check	not-suspending
1	check	pattern-type-mismatch
1	check	unsupported-local-generic-function
1	run	duplicate-trait-impl
1	run	empty-list-needs-context
1	run	interpolated-pattern
1	run	invalid-unary-operand
1	run	member-on-non-data
1	run	nonfinal-vararg
1	run	not-suspending
1	run	pattern-type-mismatch
1	run	unsupported-local-generic-function
1	test	duplicate-trait-impl
1	test	empty-list-needs-context
1	test	interpolated-pattern
1	test	invalid-unary-operand
1	test	member-on-non-data
1	test	nonfinal-vararg
1	test	not-suspending
1	test	pattern-type-mismatch
1	test	unsupported-local-generic-function
