count	action	code
506	check	expected-expression
376	check	unknown-name
293	check	expected-token
273	check	unknown-type
149	check	type-mismatch
106	check	unsupported-generic-parameter
102	check	unknown-trait
98	check	duplicate-binding
69	check	duplicate-data-field
45	check	expected-newline
38	check	invalid-string-interpolation
29	check	duplicate-type
22	check	duplicate-variant
14	check	unreachable-match-arm
12	check	argument-count
12	check	nil-needs-optional-type
11	check	result-constructor-needs-context
8	check	duplicate-impl-member
8	check	unknown-method
7	check	unknown-data-field
6	check	match-arm-type
4	check	generic-type-mismatch
4	check	impure-parameter-default
4	check	unknown-variant
4	check	unsupported-gadt-result
3	check	break-outside-loop
3	check	extra-trait-method
3	check	invalid-result-propagation
3	check	not-callable
2	check	if-branch-type
2	check	invalid-assignment-target
2	check	missing-variant-result
1	check	duplicate-trait-impl
1	check	empty-list-needs-context
1	check	interpolated-pattern
1	check	invalid-unary-operand
1	check	member-on-non-data
1	check	nonfinal-vararg
1	check	not-suspending
1	check	pattern-type-mismatch
1	check	unsupported-local-generic-function
