# commit bd985d7, 2026-09-25T21:01:23.843Z, node v24.19.0
# command: node --experimental-strip-types audit/scripts/runtime/roundtrip.ts audit/scripts/runtime/suspension-fixtures.txt
fixture	profile	scenario	check	run	record	replay	events	stdout_match	verdict
examples/suspension.hd	-	-	ok	ok	ok	ok	poll=2	yes	roundtrip-ok
spec/conformance/runtime/panic/competing-suspension-drivers.hd	-	competing-drivers	ok	ok	ok	ok	poll=2	yes	roundtrip-ok
spec/conformance/runtime/panic/nested-block-on.hd	-	-	ok	exit1:suspension-nested-driver: runtime panic	exit1:suspension-nested-driver: runtime panic	-	-	-	not-recordable
spec/conformance/runtime/panic/reentrant-cancel.hd	-	-	ok	exit1:suspension-reentrant-poll: runtime panic	exit1:suspension-reentrant-poll: runtime panic	-	-	-	not-recordable
spec/conformance/runtime/panic/reentrant-suspension-poll.hd	-	reentrant-poll	ok	ok	ok	ok	poll=2	yes	roundtrip-ok
spec/conformance/runtime/panic/second-suspension-drive.hd	-	-	ok	exit1:suspension-invalid-state: runtime panic	exit1:suspension-invalid-state: runtime panic	-	-	-	not-recordable
spec/conformance/runtime/panic/test-block-on.hd	-	-	ok	exit1:Error: program has no exported main function	exit1:Error: program has no exported main function	-	-	-	not-recordable
spec/conformance/runtime/valid/cancellation-runs-defer.hd	pending-gate	cancellation-cleanup	ok	exit-1:TIMEOUT(30s): spawnSync node ETIMEDOUT	exit-1:TIMEOUT(30s): spawnSync node ETIMEDOUT	-	-	-	not-recordable
spec/conformance/runtime/valid/cancellation-unwinds-nested-frames.hd	-	cancellation-cleanup	ok	ok	ok	ok	poll=3	yes	roundtrip-ok
spec/conformance/runtime/valid/cancellation-unwinds-suspending-closure.hd	pending-gate	cancellation-cleanup	ok	exit-1:TIMEOUT(30s): spawnSync node ETIMEDOUT	exitnull:<--- Last few GCs --->	-	-	-	not-recordable
spec/conformance/runtime/valid/construction-provider-capture.hd	-	-	ok	ok	ok	ok	poll=2	yes	roundtrip-ok
spec/conformance/runtime/valid/resource-disposed-result.hd	disposed-file	-	exit2:usage: hd <parse|check|test|run|trace|record|replay|build|dump-hir|explain-requirements> [--wat] [--entry NAME	-	-	-	-	-	static-reject
test/fixtures/compiler-types/identity/references/gc-identity.hd	-	-	ok	ok	ok	ok	0	yes	roundtrip-ok
test/fixtures/compiler-types/traits/inherent-methods.hd	-	-	ok	ok	ok	ok	poll=2	yes	roundtrip-ok
test/fixtures/compiler-types/traits/suspending-cancel.hd	-	-	ok	ok	ok	ok	poll=3	yes	roundtrip-ok
test/fixtures/compiler-types/traits/suspending-defaults.hd	-	-	ok	ok	ok	ok	poll=2	yes	roundtrip-ok
test/fixtures/compiler-types/traits/suspending-dispatch.hd	-	-	ok	ok	ok	ok	poll=6	yes	roundtrip-ok
test/fixtures/compiler-types/tuples/heterogeneous/gc-storage.hd	-	-	ok	ok	ok	ok	poll=2	yes	roundtrip-ok
test/fixtures/compiler/10-function-parameter-defaults-evaluate-after-explicit-arguments.hd	-	-	ok	ok	ok	ok	poll=2	yes	roundtrip-ok
test/fixtures/compiler/11-function-parameter-defaults-enforce-order-type-and-purity-impure-parameter-default.hd	-	-	exit1:audit/probes/runtime/roundtrip/test__fixtures__compiler__11-function-parameter-defaults-enforce-order-type-and	-	-	-	-	-	static-reject
test/fixtures/compiler/12-varargs-work-in-suspending-and-trait-method-calls.hd	-	-	ok	ok	ok	ok	poll=3	yes	roundtrip-ok
test/fixtures/compiler/13-named-arguments-map-to-parameters-without-changing-source-evaluation-ord.hd	-	-	ok	ok	ok	ok	poll=3	yes	roundtrip-ok
test/fixtures/compiler/14-named-enum-payloads-preserve-source-evaluation-order.hd	-	-	ok	ok	ok	ok	poll=3	yes	roundtrip-ok
test/fixtures/compiler/16-literal-enum-payload-patterns-constrain-variants-in-wasm-and-suspension-.hd	-	-	ok	ok	ok	ok	poll=11	yes	roundtrip-ok
test/fixtures/compiler/18-named-arguments-work-through-static-and-dynamic-trait-dispatch.hd	-	-	ok	ok	ok	ok	poll=2	yes	roundtrip-ok
test/fixtures/compiler/24-for-loops-iterate-lists-and-maps-with-continue-destructuring-and-else-va.hd	-	-	ok	ok	ok	ok	poll=2	yes	roundtrip-ok
test/fixtures/compiler/30-data-field-initializers-preserve-source-evaluation-order.hd	-	-	ok	ok	ok	ok	poll=3	yes	roundtrip-ok
test/fixtures/compiler/32-data-field-defaults-are-type-checked-and-purity-checked-impure-data-default-2.hd	-	-	exit1:audit/probes/runtime/roundtrip/test__fixtures__compiler__32-data-field-defaults-are-type-checked-and-purity-ch	-	-	-	-	-	static-reject
test/fixtures/compiler/33-data-copy-update-evaluates-its-source-before-replacements.hd	-	-	ok	ok	ok	ok	poll=3	yes	roundtrip-ok
test/fixtures/compiler/60-comprehensions-reject-suspension-calls.hd	-	-	exit1:audit/probes/runtime/roundtrip/test__fixtures__compiler__60-comprehensions-reject-suspension-calls.hd:6:26: su	-	-	-	-	-	static-reject
test/fixtures/suspension/01-suspending-functions-construct-gc-frames-and-bang-calls-drive-them.hd	-	-	ok	ok	ok	ok	poll=2	yes	roundtrip-ok
test/fixtures/suspension/02-generic-suspending-functions-box-frame-arguments-and-unbox-direct-or-sto.hd	-	-	ok	ok	ok	ok	poll=3	yes	roundtrip-ok
test/fixtures/suspension/03-generic-suspension-frames-retain-trait-dictionaries-across-child-polls.hd	-	-	ok	ok	ok	ok	poll=3	yes	roundtrip-ok
test/fixtures/suspension/04-ordinary-suspending-calls-are-cold-values-and-bang-calls-need-a-driver-diagnostic-2.hd	-	-	exit1:audit/probes/runtime/roundtrip/test__fixtures__suspension__04-ordinary-suspending-calls-are-cold-values-and-ba	-	-	-	-	-	static-reject
test/fixtures/suspension/04-ordinary-suspending-calls-are-cold-values-and-bang-calls-need-a-driver-diagnostic-3.hd	-	-	exit1:audit/probes/runtime/roundtrip/test__fixtures__suspension__04-ordinary-suspending-calls-are-cold-values-and-ba	-	-	-	-	-	static-reject
test/fixtures/suspension/04-ordinary-suspending-calls-are-cold-values-and-bang-calls-need-a-driver-diagnostic-4.hd	-	-	exit1:audit/probes/runtime/roundtrip/test__fixtures__suspension__04-ordinary-suspending-calls-are-cold-values-and-ba	-	-	-	-	-	static-reject
test/fixtures/suspension/04-ordinary-suspending-calls-are-cold-values-and-bang-calls-need-a-driver-diagnostic.hd	-	-	ok	ok	ok	ok	0	yes	roundtrip-ok
