count	compiler	action	outcome
662	c0	parse	reject:expected-token
552	c0	parse	reject:expected-expression
235	c0	parse	accept
226	c0	parse	reject:decorator-not-top-level
58	c0	parse	reject:unclosed-delimiter
57	c0	parse	reject:mismatched-delimiter
55	c0	parse	reject:expected-newline
39	c0	parse	reject:inconsistent-dedent
21	c0	parse	reject:unsupported-generic-parameter
15	c0	parse	reject:missing-impl-body
12	c0	parse	reject:missing-let
9	c0	parse	reject:doc-comment-without-target
8	c0	parse	reject:unsupported-local-generic-function
7	c0	parse	reject:reserved-name
6	c0	parse	reject:invalid-string-interpolation
6	c0	parse	reject:nonfinal-vararg
3	c0	parse	reject:duplicate-mutable-permission
3	c0	parse	reject:tab-whitespace
3	c0	parse	reject:unexpected-character
2	c0	parse	reject:direct-variant-use
2	c0	parse	reject:multi-binding-needs-parentheses
2	c0	parse	reject:old-import-declaration
2	c0	parse	reject:pattern-order
2	c0	parse	reject:reserved-semicolon
2	c0	parse	reject:unsupported-type-form
1	c0	parse	reject:comparison-chaining
1	c0	parse	reject:duplicate-generic-parameter
1	c0	parse	reject:embedded-field-default
1	c0	parse	reject:invalid-assignment-target
1	c0	parse	reject:invalid-escape
1	c0	parse	reject:mutable-embedded-field
1	c0	parse	reject:nonfinal-positional-spread
1	c0	parse	reject:old-export-declaration
1	c0	parse	reject:unsupported-generic-enum-bound
1	c0	parse	reject:unterminated-string
1	c0	parse	reject:unterminated-string-interpolation
