id	count	first_case	signature	origin	details
01-b8648f61e800	251	3	parse-agreement|ref-accept/impl-reject|expected-expression	generate	expected-expression
02-7823ca1acefa	63	27	parse-agreement|ref-accept/impl-reject|decorator-not-top-level	generate	decorator-not-top-level
03-81ec21a4d0bd	11	51	parse-agreement|ref-accept/impl-reject|missing-impl-body	generate	missing-impl-body
04-8964203c735d	222	53	parse-agreement|ref-accept/impl-reject|expected-token	generate	expected-token
05-97fccb8d7f00	5	66	parse-agreement|ref-accept/impl-reject|nonfinal-vararg	generate	nonfinal-vararg
06-9bb27e039d3f	4	197	parse-agreement|ref-reject/impl-accept|syntax-error	mutate:typing/invalid/assert-equal-non-eq.hd:replace-literal	syntax-error
07-516c4ff7d1d1	12	209	parse-agreement|ref-accept/impl-reject|expected-newline	mutate:parse/valid/nested-layout.hd:reindent+replace-literal	expected-newline
08-a2642e771c73	8	228	parse-agreement|ref-accept/impl-reject|unsupported-local-generic-function	generate	unsupported-local-generic-function
09-893a962bd2d3	12	258	parse-agreement|ref-accept/impl-reject|unsupported-generic-parameter	mutate:typing/valid/pack-map.hd:delete-line+swap-tokens	unsupported-generic-parameter
10-9d1dbc57fbca	1	316	parse-agreement|ref-accept/impl-reject|duplicate-generic-parameter	generate	duplicate-generic-parameter
11-95fb154f087b	1	360	parse-agreement|ref-accept/impl-reject|reserved-name	generate	reserved-name
12-9311460326e2	1	967	parse-agreement|ref-accept/impl-reject|unsupported-generic-enum-bound	generate	unsupported-generic-enum-bound
13-b84fcdc0e3f1	1	1108	parse-agreement|ref-accept/impl-reject|nonfinal-positional-spread	mutate:typing/invalid/nonfinal-spread.hd:delete-line+duplicate-line	nonfinal-positional-spread
14-a4921bb265de	2	1264	parse-agreement|ref-accept/impl-reject|duplicate-mutable-permission	generate	duplicate-mutable-permission
15-35d8cbc9f7d0	1	1543	parse-agreement|ref-reject/impl-accept|trailing-block-position	generate	trailing-block-position,trailing-block-position
