path	phase	expectation	specification
typing/c00-control-reject.hd	type	reject:readonly-root	audit-plant
typing/c01-wrong-line.hd	type	reject:readonly-root	audit-plant
typing/c02-wrong-code.hd	type	reject:type-mismatch	audit-plant
typing/c03-extra-error.hd	type	reject:readonly-root	audit-plant
typing/c04-accept-with-warning.hd	type	accept	audit-plant
runtime/c05a-trap-runtime-error.hd	runtime	panic:runtime-error	audit-plant
runtime/c05b-trap-vs-category.hd	runtime	panic:integer-overflow	audit-plant
runtime/c06-decoy-printed-code.hd	runtime	panic:index-out-of-bounds	audit-plant
runtime/c07-panic-wrong-line.hd	runtime	panic:integer-overflow	audit-plant
runtime/c08-failing-test-block.hd	runtime	accept	audit-plant
runtime/c09-failing-main.hd	runtime	accept	audit-plant
runtime/c10-scenario-skips-tests.hd	runtime	accept	audit-plant
runtime/c10b-control-scenario.hd	runtime	accept	audit-plant
typing/c11-type-error-in-accept.hd	type	accept	audit-plant
parse/c12-parse-only.hd	parse	accept	audit-plant
runtime/c13-runtime-accept-panics.hd	runtime	accept	audit-plant
runtime/c14a-crash-in-runtime-accept.hd	runtime	accept	audit-plant
runtime/c14b-crash-vs-stack-exhausted.hd	runtime	panic:stack-exhausted	audit-plant
typing/c15-diagnostic-satisfied-by-warning.hd	type	reject:unused-local-binding	audit-plant
typing/c17-marker-typo.hd	type	reject:readonly-root	audit-plant
outer/nested/c18-substring-row.hd	type	accept	audit-plant
