path	phase	expectation	specification
runtime/w04a-runtime-error-host-crash.hd	runtime	panic:runtime-error	audit-plant
runtime/w04b-category-host-crash.hd	runtime	panic:explicit-panic	audit-plant
runtime/w05a-runtime-error-success.hd	runtime	panic:runtime-error	audit-plant
runtime/w05b-category-success.hd	runtime	panic:explicit-panic	audit-plant
runtime/w06-panic-wrong-code.hd	runtime	panic:index-out-of-bounds	audit-plant
runtime/w07-panic-decoy-print.hd	runtime	panic:index-out-of-bounds	audit-plant
runtime/w08a-runtime-error-compiler-crash.hd	runtime	panic:runtime-error	audit-plant
runtime/w08b-category-compiler-crash.hd	runtime	panic:explicit-panic	audit-plant
runtime/w09-panic-wrong-line.hd	runtime	panic:integer-overflow	audit-plant
runtime/w10-control-panic.hd	runtime	panic:integer-overflow	audit-plant
typing/w00-control-reject.hd	type	reject:unknown-name	audit-plant
typing/w01-extra-error.hd	type	reject:unknown-name	audit-plant
typing/w02-diagnostic-satisfied-by-warning.hd	type	reject:unused-local-binding	audit-plant
typing/w03-diagnostic-satisfied-by-warning-other-function.hd	type	reject:unused-local-binding	audit-plant
