source	action	dest	remap	note
compiler-types/callbacks/function-values.hd	res	rv/function-value-argument	-	-
compiler-types/callbacks/readonly-result.hd	res	rv/function-field-returns-mutable-data	-	-
compiler-types/callbacks/requirement-function-values.hd	man	rv/requirement-function-value	-	F-201: declare Clock; call through a provider scope in a test block
compiler-types/callbacks/trailing.hd	res	rv/trailing-callback-blocks	-	-
compiler-types/closures/captures.hd	res	rv/closure-captures-local	-	-
compiler-types/closures/nested-captures.hd	res	rv/nested-closure-captures	-	-
compiler-types/closures/provider-captures.hd	man	rv/closure-captures-provider-scope	-	F-201: declare Clock and Backup
compiler-types/closures/requirement-inference/inferred-row.hd	man	rv/closure-inferred-requirement-row	-	F-201: declare Clock
compiler-types/closures/requirement-inference/missing-requirement.hd	man	ti/closure-inferred-row-missing-requirement	-	F-201: declare Clock
compiler-types/closures/requirements.hd	man	rv/closure-explicit-requirement-row	-	F-201: declare Clock
compiler-types/collections/lists/empty-needs-context.hd	hold	-	-	marks empty-list-needs-context, which spec/README.md does not inventory (F-205)
compiler-types/collections/lists/erased-storage.hd	res	rv/generic-list-element	-	-
compiler-types/collections/lists/heterogeneous-elements.hd	mv	ti/heterogeneous-list-bool-int	-	-
compiler-types/collections/lists/void-element-type.hd	hold	-	-	marks unknown-type for list[void]; void resolves, and the spec names no code for a void type argument
compiler-types/collections/maps/empty-needs-context.hd	hold	-	-	marks empty-map-needs-context, which spec/README.md does not inventory (F-205)
compiler-types/collections/maps/float-key.hd	mv	ti/float-literal-map-key	unsupported-map-key=invalid-map-key	-
compiler-types/collections/maps/heterogeneous-values.hd	mv	ti/heterogeneous-map-values	type-mismatch=no-common-type	-
compiler-types/collections/maps/lookup-replacement.hd	res	rv/map-lookup-and-duplicate-keys	-	-
compiler-types/collections/trait-lists.hd	res	rv/list-of-trait-values	-	-
compiler-types/data/generic/erased-layout.hd	res	rv/generic-data-fields	-	-
compiler-types/data/generic/mismatched-field-type.hd	mv	ti/generic-data-field-type-mismatch	generic-type-mismatch=type-mismatch	-
compiler-types/enums/generic/context-required.hd	hold	-	-	marks generic-enum-needs-context, which spec/README.md does not inventory (F-205)
compiler-types/enums/generic/erased-payloads.hd	res	rv/generic-enum-payloads	-	-
compiler-types/enums/generic/unsaturated-type.hd	hold	-	-	marks unknown-type for a generic enum used without arguments; the name resolves, and no inventoried code fits
compiler-types/generics/callable-adapter.hd	res	rv/generic-callable-adapter	-	-
compiler-types/generics/functions/inconsistent-inference.hd	mv	ti/generic-inference-conflict	generic-type-mismatch=type-mismatch	-
compiler-types/generics/functions/inference-and-boxing.hd	res	rv/generic-inference-scalars-and-data	-	-
compiler-types/generics/functions/unresolved-placeholder.hd	mv	ti/unresolved-generic-return-placeholder	-	-
compiler-types/generics/functions/unsaturated-function-value.hd	hold	-	-	marks generic-function-value-needs-arguments, which spec/README.md does not inventory (F-205)
compiler-types/generics/option-result.hd	res	rv/generic-optional-and-result	-	-
compiler-types/identity/references/gc-identity.hd	res	rv/reference-identity	-	-
compiler-types/identity/references/missing-implementation.hd	hold	-	-	marks missing-trait-implementation (unsatisfied bound), which spec/README.md does not inventory (F-205)
compiler-types/identity/references/unbounded-generic.hd	del	typing/invalid/unbounded-generic-identity.hd	-	identical to the conformance copy
compiler-types/requirements/abi.hd	man	rv/requirement-row-forwarded-through-calls	-	F-201: declare Clock
compiler-types/requirements/context-errors/non-context-spread.hd	mv	ti/provider-spread-of-non-context	context-spread-type=type-mismatch	-
compiler-types/requirements/context-errors/wrong-context-type.hd	man	ti/context-result-type-mismatch	-	F-201: declare Clock and Backup
