path	phase	expectation	specification
parse/valid/layout.hd	parse	accept	01-lexical-structure.md#whitespace-and-indentation
parse/valid/declarations.hd	parse	accept	02-grammar.md#declarations
parse/valid/expressions.hd	parse	accept	02-grammar.md#expressions
parse/valid/functions-and-closures.hd	parse	accept	07-functions.md
parse/valid/uses.hd	parse	accept	10-modules.md#use-forms
parse/valid/data-embedding.hd	parse	accept	08-data-and-enums.md#data-embedding
parse/invalid/mutable-field-modifier.hd	parse	reject:mutable-field-modifier	08-data-and-enums.md#data-declarations
parse/invalid/mutable-embedded-field.hd	parse	reject:mutable-embedded-field	08-data-and-enums.md#data-embedding
typing/valid/generic-data-embedding.hd	type	accept	08-data-and-enums.md#data-embedding
typing/invalid/duplicate-generic-embedded-name.hd	type	reject:duplicate-embedded-field	08-data-and-enums.md#data-embedding
parse/invalid/old-struct-declaration.hd	parse	reject:old-struct-declaration	08-data-and-enums.md#data-declarations
parse/valid/test-block.hd	parse	accept	02-grammar.md#test-blocks
parse/invalid/declaration-without-let.hd	parse	reject:missing-let	02-grammar.md#statements
parse/invalid/direct-variant-use.hd	parse	reject:direct-variant-use	10-modules.md#use-forms
parse/invalid/old-import-declaration.hd	parse	reject:old-import-declaration	02-grammar.md#use-declarations
parse/invalid/old-export-declaration.hd	parse	reject:old-export-declaration	02-grammar.md#use-declarations
parse/invalid/pub-trait-method.hd	parse	reject:trait-method-visibility	02-grammar.md#traits-and-implementations
parse/invalid/chained-comparison.hd	parse	reject:comparison-chaining	02-grammar.md#expressions
parse/invalid/invalid-escape.hd	parse	reject:invalid-escape	01-lexical-structure.md#string-and-character-literals
parse/invalid/named-pattern-before-positional.hd	parse	reject:pattern-order	02-grammar.md#patterns
parse/valid/unicode-identifiers.hd	parse	accept	01-lexical-structure.md#identifiers
parse/valid/utf8-bom.hd	parse	accept	01-lexical-structure.md#processing-model
parse/invalid/mid-file-bom.hd	parse	reject:unexpected-bom	01-lexical-structure.md#processing-model
parse/invalid/semicolon.hd	parse	reject:reserved-semicolon	01-lexical-structure.md#operators-and-delimiters
parse/invalid/tab-indentation.hd	parse	reject:tab-whitespace	01-lexical-structure.md#whitespace-and-indentation
parse/invalid/positional-after-named.hd	parse	reject:argument-order	02-grammar.md#calls-and-arguments
typing/invalid/nonfinal-spread.hd	type	reject:nonfinal-positional-spread	07-functions.md#varargs
typing/invalid/missing-return-value.hd	type	reject:missing-return-value	07-functions.md#declarations
typing/valid/bindings.hd	type	accept	04-type-system.md#composite-values-and-access-permission
typing/valid/collections.hd	type	accept	05-expressions.md#comprehensions
typing/valid/readonly-list-mutable-elements.hd	type	accept	05-expressions.md#indexing
typing/invalid/readonly-list-element-replacement.hd	type	reject:const-root	05-expressions.md#indexing
typing/valid/equality.hd	type	accept	05-expressions.md#unary-and-binary-operators
typing/invalid/implicit-data-equality.hd	type	reject:missing-partial-eq	05-expressions.md#unary-and-binary-operators
typing/invalid/primitive-identity.hd	type	reject:identity-requires-references	05-expressions.md#unary-and-binary-operators
typing/valid/comparison-traits.hd	type	accept	09-traits.md#comparison-traits
typing/invalid/implicit-data-ordering.hd	type	reject:missing-partial-ord	05-expressions.md#unary-and-binary-operators
typing/valid/control-flow.hd	type	accept	06-control-flow.md
typing/valid/enums.hd	type	accept	08-data-and-enums.md#matching-enums
typing/valid/shared-enum-defaults.hd	type	accept	08-data-and-enums.md#shared-enum-constructor-data
typing/invalid/impure-shared-enum-default.hd	type	reject:impure-enum-default	08-data-and-enums.md#shared-enum-constructor-data
typing/invalid/shared-enum-default-order.hd	type	reject:enum-default-order	08-data-and-enums.md#shared-enum-constructor-data
typing/valid/match-guards.hd	type	accept	06-control-flow.md#match-expressions
typing/valid/data-patterns.hd	type	accept	06-control-flow.md#match-expressions
typing/valid/contextual-variants.hd	type	accept	08-data-and-enums.md#matching-enums
typing/valid/functions.hd	type	accept	07-functions.md
typing/valid/local-functions.hd	type	accept	07-functions.md#declarations
typing/valid/recursive-local-closure.hd	type	accept	07-functions.md#recursion
typing/invalid/recursive-closure-inferred-result.hd	type	reject:recursive-closure-needs-result-type	07-functions.md#recursion
typing/valid/local-types.hd	type	accept	03-names-and-scopes.md#function-and-closure-scopes
typing/valid/fresh-mutable-values.hd	type	accept	04-type-system.md#bindings-and-fresh-values
typing/valid/map-indexing.hd	type	accept	05-expressions.md#indexing
typing/valid/readonly-map-mutable-values.hd	type	accept	05-expressions.md#indexing
typing/invalid/readonly-map-entry-replacement.hd	type	reject:const-root	05-expressions.md#indexing
typing/valid/iteration-protocol.hd	type	accept	06-control-flow.md#for-loops
typing/valid/mutable-paths.hd	type	accept	04-type-system.md#mutable-paths
typing/valid/readonly-callable-mutable-result.hd	type	accept	04-type-system.md#composite-values-and-access-permission
typing/invalid/readonly-mut-field-reassignment.hd	type	reject:const-root	04-type-system.md#mutable-paths
typing/invalid/readonly-mut-field-mutation.hd	type	reject:const-root	04-type-system.md#mutable-paths
typing/invalid/readonly-mut-field-method.hd	type	reject:mutable-receiver-required	04-type-system.md#mutable-paths
typing/valid/readonly-outer-mutable-field-init.hd	type	accept	04-type-system.md#mutable-paths
typing/valid/names-and-scopes.hd	type	accept	03-names-and-scopes.md#lexical-scopes
typing/valid/module-bindings.hd	type	accept	03-names-and-scopes.md#module-scope
typing/invalid/forward-module-binding.hd	type	reject:binding-not-yet-visible	03-names-and-scopes.md#module-scope
typing/valid/newtypes-and-widening.hd	type	accept	04-type-system.md#numeric-conversions
typing/valid/numeric-types.hd	type	accept	04-type-system.md#numeric-conversions
typing/valid/option-result.hd	type	accept	04-type-system.md#result-types
typing/valid/generic-result-permission.hd	type	accept	04-type-system.md#result-types
typing/valid/data-types.hd	type	accept	08-data-and-enums.md#construction-and-access
typing/valid/copy-update-permissions.hd	type	accept	05-expressions.md#data-expressions
typing/valid/generic-field-permission.hd	type	accept	04-type-system.md#mutable-paths
typing/invalid/readonly-generic-field-init.hd	type	reject:mutable-upgrade	04-type-system.md#mutable-paths
typing/invalid/readonly-spread-mutable-field.hd	type	reject:mutable-upgrade	05-expressions.md#data-expressions
typing/invalid/copy-update-const-child.hd	type	reject:const-edge	04-type-system.md#mutable-paths
typing/valid/data-field-defaults.hd	type	accept	08-data-and-enums.md#data-declarations
typing/invalid/impure-data-default.hd	type	reject:impure-data-default	08-data-and-enums.md#data-declarations
typing/invalid/missing-required-data-field.hd	type	reject:missing-required-field	08-data-and-enums.md#construction-and-access
typing/valid/trait-features.hd	type	accept	09-traits.md
typing/valid/traits.hd	type	accept	09-traits.md
typing/invalid/break-value-without-else.hd	type	reject:break-value-context	06-control-flow.md#break-continue-and-loop-else
